setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ugl	Unglued	1998-08-11	1	Charm School	8d2f2b5b-2e71-425e-a049-34a81d416c66	covered		broad_protection, protection, sacrifice_support				Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ugl/1/charm-school?utm_source=api	As this enchantment enters, choose a color and balance this enchantment on your head. Prevent all damage that would be dealt to you by sources of the chosen color. When this enchantment falls off your head, sacrifice this enchantment.
ugl	Unglued	1998-08-11	2	The Cheese Stands Alone	f38b9fbc-1cb9-450a-93e8-a6b8139956ae	covered		alternate_finisher, finisher				Enchantment	{4}{W}{W}	6	W	W			verify analyzer roles	https://scryfall.com/card/ugl/2/the-cheese-stands-alone?utm_source=api	When you control no permanents other than The Cheese Stands Alone and have no cards in hand, you win the game.
ugl	Unglued	1998-08-11	3	Double Dip	479edfad-7147-495b-8167-783d928c5be4	covered		lifegain				Instant	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/ugl/3/double-dip?utm_source=api	Choose another player. You gain 5 life. At the beginning of the first upkeep in your next game with that player, you gain 5 life.
ugl	Unglued	1998-08-11	4	Get a Life	2698465c-5171-4710-acb0-4aaceccfcc18	covered		life_pressure, lifegain				Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ugl/4/get-a-life?utm_source=api	Target player and each of that player's teammates exchange life totals.
ugl	Unglued	1998-08-11	5	I'm Rubber, You're Glue	78abf265-7448-4896-b3b5-5654263e5686	covered		broad_stack, sacrifice_support, stack				Enchantment	{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ugl/5/im-rubber-youre-glue?utm_source=api	When you speak in non-rhyming sentences, sacrifice this enchantment. Say "I'm rubber, you're glue. Everything bounces off me and sticks to you": Change the target of target spell or ability that targets only you.
ugl	Unglued	1998-08-11	6	Knight of the Hokey Pokey	93a1513d-f9d1-41cf-9b44-0c103fd9c22c	covered		broad_protection, combat_body, combat_threat, protection				Creature — Knight	{W}{W}	2	W	W	First strike		verify analyzer roles	https://scryfall.com/card/ugl/6/knight-of-the-hokey-pokey?utm_source=api	First strike {1}{W}, Do the Hokey Pokey: Prevent all damage a source of your choice would deal to this creature this turn. (To do the Hokey Pokey, choose an arm, a leg, or your whole self and put it in. Put it out. Put it in. Shake it all about. You do the Hokey Pokey! Turn yourself around.)
ugl	Unglued	1998-08-11	7	Lexivore	1ffd1f01-bec4-48a7-b2ef-c53af0efb450	covered		combat_body, removal, targeted_removal				Creature — Beast	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ugl/7/lexivore?utm_source=api	Whenever this creature deals damage to a player, destroy target permanent other than this creature with the most lines of text in its text box. (If two or more cards are tied, target any one of them.)
ugl	Unglued	1998-08-11	8	Look at Me, I'm the DCI	4f2a420c-6ba6-4611-aa71-1b61e877da61	covered		hate_piece, removal, stax_piece				Sorcery	{5}{W}{W}	7	W	W			verify analyzer roles	https://scryfall.com/card/ugl/8/look-at-me-im-the-dci?utm_source=api	Ban a card other than a basic land card for the rest of the match. (All cards with that name in any zone or sideboard are removed from the match.)
ugl	Unglued	1998-08-11	9	Mesa Chicken	afe04e75-ebfd-448a-96de-699b3f5a4ed8	covered		combat_body, combat_support				Creature — Bird	{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ugl/9/mesa-chicken?utm_source=api	Stand up, Flap your arms, Cluck like a chicken: This creature gains flying until end of turn.
ugl	Unglued	1998-08-11	10	Miss Demeanor	5c0a33bd-119d-40d1-99c0-02701b5ba9e8	covered		combat_body, combat_threat, sacrifice_support, targeted_removal				Creature — Lady of Proper Etiquette	{3}{W}	4	W	W	Flying, First strike		verify analyzer roles	https://scryfall.com/card/ugl/10/miss-demeanor?utm_source=api	Flying, first strike At the beginning of each other player's upkeep, you may compliment that player on their game play. If you don't, sacrifice this creature.
