setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ulg	Urza's Legacy	1999-02-15	1	Angelic Curator	cca29a9b-794f-4712-8e6c-36ce3da9cb8b	covered		combat_body, combat_threat, self_protection			Covered by ULG role audit.	Creature — Angel Spirit	{1}{W}	2	W	W	Flying, Protection		verify analyzer roles	https://scryfall.com/card/ulg/1/angelic-curator?utm_source=api	Flying, protection from artifacts
ulg	Urza's Legacy	1999-02-15	2	Blessed Reversal	70e0b676-61a2-4dcf-8f61-d9281467ed43	covered	lifegain	lifegain	false		Covered by Portal role audit.	Instant	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/ulg/2/blessed-reversal?utm_source=api	You gain 3 life for each creature attacking you.
ulg	Urza's Legacy	1999-02-15	3	Burst of Energy	b795ecfd-31ac-4a2a-9679-97b088932d93	covered		tap_untap, tempo_support			Covered by ULG role audit.	Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ulg/3/burst-of-energy?utm_source=api	Untap target permanent.
ulg	Urza's Legacy	1999-02-15	4	Cessation	a8b3a35e-0172-4f7b-b50f-571e59d7ca5f	covered		combat_support			Covered by ULG role audit.	Enchantment — Aura	{2}{W}	3	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/ulg/4/cessation?utm_source=api	Enchant creature Enchanted creature can't attack. When this Aura is put into a graveyard from the battlefield, return it to its owner's hand.
ulg	Urza's Legacy	1999-02-15	5	Defender of Law	656513cf-1bf0-431e-8d3a-2d1ec79d0bec	covered		combat_body, self_protection			Covered by ULG role audit.	Creature — Human Knight	{2}{W}	3	W	W	Protection, Flash		verify analyzer roles	https://scryfall.com/card/ulg/5/defender-of-law?utm_source=api	Flash Protection from red
ulg	Urza's Legacy	1999-02-15	6	Devout Harpist	f57901c2-80c6-49d6-8de3-c96aaeb72bbf	covered		combat_body, removal, targeted_removal			Covered by ULG role audit.	Creature — Human	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ulg/6/devout-harpist?utm_source=api	{T}: Destroy target Aura attached to a creature.
ulg	Urza's Legacy	1999-02-15	7	Erase	c2ceb15c-5d02-4cf4-a7c9-c1a40b7ca667	covered		removal, targeted_removal			Covered by ULG role audit.	Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ulg/7/erase?utm_source=api	Exile target enchantment.
ulg	Urza's Legacy	1999-02-15	8	Expendable Troops	70ebd18a-c878-4a93-b7c4-3f7a2aa65f5e	covered		combat_body, removal, sacrifice_support, targeted_removal			Covered by ULG role audit.	Creature — Human Soldier	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ulg/8/expendable-troops?utm_source=api	{T}, Sacrifice this creature: It deals 2 damage to target attacking or blocking creature.
ulg	Urza's Legacy	1999-02-15	9	Hope and Glory	506ea048-aca5-439a-a5b5-059ddda0672a	covered		combat_support, tap_untap, tempo_support			Covered by ULG role audit.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ulg/9/hope-and-glory?utm_source=api	Untap two target creatures. Each of them gets +1/+1 until end of turn.
ulg	Urza's Legacy	1999-02-15	10	Iron Will	dc0decb9-32da-47aa-a51a-0d9c623c534a	covered		card_draw, combat_support, direct_draw, draw, selection			Covered by ULG role audit.	Instant	{W}	1	W	W	Cycling		verify analyzer roles	https://scryfall.com/card/ulg/10/iron-will?utm_source=api	Target creature gets +0/+4 until end of turn. Cycling {2} ({2}, Discard this card: Draw a card.)
ulg	Urza's Legacy	1999-02-15	11	Karmic Guide	8c31fec9-e4b3-4761-990e-7be38eb05604	covered		battlefield_recursion, card_selection, combat_body, combat_threat, recursion, sacrifice_support			Covered by ULG role audit.	Creature — Angel Spirit	{3}{W}{W}	5	W	W	Echo, Flying, Protection		verify analyzer roles	https://scryfall.com/card/ulg/11/karmic-guide?utm_source=api	Flying, protection from black Echo {3}{W}{W} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.) When this creature enters, return target creature card from your graveyard to the battlefield.
ulg	Urza's Legacy	1999-02-15	12	Knighthood	22f008b3-c263-4dcc-855f-403da9ca4cd9	covered		combat_support			Covered by ULG role audit.	Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ulg/12/knighthood?utm_source=api	Creatures you control have first strike.
ulg	Urza's Legacy	1999-02-15	13	Martyr's Cause	72d1c789-e79f-4f15-80d0-981d4120b085	covered		sacrifice_support			Covered by ULG role audit.	Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ulg/13/martyrs-cause?utm_source=api	Sacrifice a creature: The next time a source of your choice would deal damage to any target this turn, prevent that damage.
ulg	Urza's Legacy	1999-02-15	14	Mother of Runes	60433b48-d27f-413c-905c-43839b1943f1	covered		combat_body, protection, targeted_protection			Covered by ULG role audit.	Creature — Human Cleric	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ulg/14/mother-of-runes?utm_source=api	{T}: Target creature you control gains protection from the color of your choice until end of turn.
ulg	Urza's Legacy	1999-02-15	15	Opal Avenger	13a85c9f-f653-4d90-bea6-94022ee82527	covered		animation_effect, combat_support			Covered by ULG role audit.	Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ulg/15/opal-avenger?utm_source=api	When you have 10 or less life, if this permanent is an enchantment, it becomes a 3/5 Soldier creature.
ulg	Urza's Legacy	1999-02-15	16	Opal Champion	0d3617c3-1526-40e6-bc90-6139b5d3e1f1	covered		animation_effect, combat_support			Covered by ULG role audit.	Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ulg/16/opal-champion?utm_source=api	When an opponent casts a creature spell, if this permanent is an enchantment, it becomes a 3/3 Knight creature with first strike.
ulg	Urza's Legacy	1999-02-15	17	Peace and Quiet	0517f736-e6eb-4fdb-8288-e0c8a9a44379	covered		removal, targeted_removal			Covered by ULG role audit.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ulg/17/peace-and-quiet?utm_source=api	Destroy two target enchantments.
ulg	Urza's Legacy	1999-02-15	18	Planar Collapse	82bccc9f-f700-4f1f-b89e-bea63d973161	covered		mass_removal, removal, sacrifice_support			Covered by ULG role audit.	Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ulg/18/planar-collapse?utm_source=api	At the beginning of your upkeep, if there are four or more creatures on the battlefield, sacrifice this enchantment and destroy all creatures. They can't be regenerated.
ulg	Urza's Legacy	1999-02-15	19	Purify	cfd1b276-ef5d-4f60-9f63-a548ad315e07	covered		mass_removal, removal			Covered by ULG role audit.	Sorcery	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/ulg/19/purify?utm_source=api	Destroy all artifacts and enchantments.
ulg	Urza's Legacy	1999-02-15	20	Radiant, Archangel	859cbe11-e1e6-4309-94da-8725db1b3fc2	covered		combat_body, combat_support, combat_threat			Covered by ULG role audit.	Legendary Creature — Angel	{3}{W}{W}	5	W	W	Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/ulg/20/radiant-archangel?utm_source=api	Flying, vigilance Radiant gets +1/+1 for each other creature on the battlefield with flying.
ulg	Urza's Legacy	1999-02-15	21	Radiant's Dragoons	a0fe91a8-633c-4902-bc75-da0a5aa76992	covered		combat_body, lifegain, sacrifice_support			Covered by ULG role audit.	Creature — Human Soldier	{3}{W}	4	W	W	Echo		verify analyzer roles	https://scryfall.com/card/ulg/21/radiants-dragoons?utm_source=api	Echo {3}{W} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.) When this creature enters, you gain 5 life.
ulg	Urza's Legacy	1999-02-15	22	Radiant's Judgment	85fd04e9-b39c-4ce0-97a1-58f9670a298f	covered		card_draw, direct_draw, draw, removal, selection, targeted_removal			Covered by ULG role audit.	Instant	{2}{W}	3	W	W	Cycling		verify analyzer roles	https://scryfall.com/card/ulg/22/radiants-judgment?utm_source=api	Destroy target creature with power 4 or greater. Cycling {2} ({2}, Discard this card: Draw a card.)
ulg	Urza's Legacy	1999-02-15	23	Sustainer of the Realm	2c99d52d-f909-4494-aeee-937ae779fd4a	covered		combat_body, combat_support, combat_threat			Covered by ULG role audit.	Creature — Angel	{2}{W}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ulg/23/sustainer-of-the-realm?utm_source=api	Flying Whenever this creature blocks, it gets +0/+2 until end of turn.
ulg	Urza's Legacy	1999-02-15	24	Tragic Poet	97bdfbe0-7048-4157-8a58-5b17410750ab	covered		card_selection, combat_body, hand_recursion, recursion, repeatable_advantage, sacrifice_support			Covered by ULG role audit.	Creature — Human	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ulg/24/tragic-poet?utm_source=api	{T}, Sacrifice this creature: Return target enchantment card from your graveyard to your hand.
ulg	Urza's Legacy	1999-02-15	25	Anthroplasm	f7536d94-4062-4ccc-a086-1c47954b24c7	covered		combat_body, combat_support, counter_support, scalable_spell			Covered by ULG role audit.	Creature — Shapeshifter	{2}{U}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/ulg/25/anthroplasm?utm_source=api	This creature enters with two +1/+1 counters on it. {X}, {T}: Remove all +1/+1 counters from this creature and put X +1/+1 counters on it.
ulg	Urza's Legacy	1999-02-15	26	Archivist	d137586f-83b0-40af-8100-443460b07ac0	covered		card_draw, combat_body, direct_draw, draw, repeatable_advantage, repeatable_draw			Covered by ULG role audit.	Creature — Human Wizard	{2}{U}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/ulg/26/archivist?utm_source=api	{T}: Draw a card.
ulg	Urza's Legacy	1999-02-15	27	Aura Flux	128304af-4555-4276-bf26-638017beb3ff	covered		sacrifice_support			Covered by ULG role audit.	Enchantment	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/ulg/27/aura-flux?utm_source=api	Other enchantments have "At the beginning of your upkeep, sacrifice this enchantment unless you pay {2}."
ulg	Urza's Legacy	1999-02-15	28	Bouncing Beebles	4fa46972-d953-4328-9c31-96e134234133	covered		combat_body, combat_support			Covered by ULG role audit.	Creature — Beeble	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/ulg/28/bouncing-beebles?utm_source=api	This creature can't be blocked as long as defending player controls an artifact.
ulg	Urza's Legacy	1999-02-15	29	Cloud of Faeries	adc1f3b4-cce7-42c9-a208-dbab1d1924f5	covered		card_draw, combat_body, combat_threat, direct_draw, draw, selection			Covered by ULG role audit.	Creature — Faerie	{1}{U}	2	U	U	Flying, Cycling		verify analyzer roles	https://scryfall.com/card/ulg/29/cloud-of-faeries?utm_source=api	Flying When this creature enters, untap up to two lands. Cycling {2} ({2}, Discard this card: Draw a card.)
