setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ulst	The List (Unfinity Foil Edition)	2022-10-07	1	By Gnome Means	bc827191-e7ed-45ae-a084-a19d16b936e3			counter_support, sacrifice_support, token_support				Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ulst/1/by-gnome-means?utm_source=api	{1}{W}, Remove a counter from a permanent you control: Create a 1/1 colorless Gnome artifact creature token. {1}{W}, Sacrifice an artifact: Choose any kind of counter a printed card refers to, then put one of that counter on target permanent.
ulst	The List (Unfinity Foil Edition)	2022-10-07	2	Do-It-Yourself Seraph	d69a899e-a77b-40eb-a9e0-2d9c5056122d			combat_body, combat_support, combat_threat, repeatable_tutor, restricted_tutor, tutor				Artifact Creature — Cyborg Angel	{4}{W}{W}	6	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ulst/2/do-it-yourself-seraph?utm_source=api	Flying Whenever this creature attacks, you may search your library for an artifact card, exile it, then shuffle. This creature has the text box of each card exiled with this creature in addition to its own.
ulst	The List (Unfinity Foil Edition)	2022-10-07	3	Flavor Judge	ff762bf0-3771-446a-9468-998043be2cec			combat_body, sacrifice_support				Creature — Bird Advisor	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ulst/3/flavor-judge?utm_source=api	{T}: Choose target spell or ability that targets a permanent you control. Then ask a person outside the game if the story of what will happen makes sense. If they say no, sacrifice this creature and counter that spell or ability.
ulst	The List (Unfinity Foil Edition)	2022-10-07	4	Frankie Peanuts	477fe26f-faea-4f33-beda-86f7debfdd88			combat_body				Legendary Creature — Elephant Rogue	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ulst/4/frankie-peanuts?utm_source=api	At the beginning of your upkeep, you may ask target player a yes-or-no question. If you do, that player answers the question truthfully and abides by that answer if able until end of turn.
ulst	The List (Unfinity Foil Edition)	2022-10-07	5	Jackknight	81025603-f62b-4635-bbf1-5814cc60d615			artifact_support, combat_body, combat_support, counter_support, lifegain				Artifact Creature — Cyborg Knight	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ulst/5/jackknight?utm_source=api	Whenever another artifact you control enters, put a +1/+1 counter on this creature. If that artifact is a Contraption, this creature gains lifelink until end of turn.
ulst	The List (Unfinity Foil Edition)	2022-10-07	6	Oddly Uneven	ef2ca5fc-aadb-4490-98b0-fa34d9554c27							Sorcery	{3}{W}{W}	5	W	W			manual review	https://scryfall.com/card/ulst/6/oddly-uneven?utm_source=api	Choose one — • Destroy each creature with an odd number of words in its name. (Hyphenated words are one word.) • Destroy each creature with an even number of words in its name.
ulst	The List (Unfinity Foil Edition)	2022-10-07	7	Rules Lawyer	0a3d3d5e-fb77-4940-9ece-7ed62bd6413e			combat_body				Artifact Creature — Cyborg Advisor	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/ulst/7/rules-lawyer?utm_source=api	State-based actions don't apply to you or other permanents you control. (You don't lose the game due to having 0 or less life or drawing from an empty library. Your creatures aren't destroyed due to damage or deathtouch and aren't put into a graveyard due to having 0 or less toughness. Your planeswalkers aren't put into a graveyard if they have 0 loyalty. You don't put a legendary permanent into a graveyard if you control two with the same name. Counters aren't removed from your permanents due to game rules. Permanents you control attached or combined illegally remain on the battlefield. For complete rules and regulations, see rule 704.)
ulst	The List (Unfinity Foil Edition)	2022-10-07	8	Staying Power	4bf9818d-fec2-430c-9278-76ef2539d987							Enchantment	{2}{W}	3	W	W			manual review	https://scryfall.com/card/ulst/8/staying-power?utm_source=api	"Until end of turn" and "this turn" effects don't end.
ulst	The List (Unfinity Foil Edition)	2022-10-07	9	Syr Cadian, Knight Owl	d847854a-8449-4731-a320-b144995042f4			combat_body, lifegain				Legendary Creature — Bird Knight	{3}{W}{W}	5	W	BW			verify analyzer roles	https://scryfall.com/card/ulst/9/syr-cadian-knight-owl?utm_source=api	Knightlifelink (Damage dealt by Knights you control also causes you to gain that much life.) {W}: Syr Cadian gains vigilance until end of turn. Activate only from sunrise to sunset. {B}: Syr Cadian gains flying until end of turn. Activate only from sunset to sunrise.
ulst	The List (Unfinity Foil Edition)	2022-10-07	10	Alexander Clamilton	60875e8e-fc71-4eb3-8c2d-70f2fd1f11ae			card_selection, combat_body, repeatable_advantage, scalable_spell, selection				Legendary Creature — Clamfolk Advisor Rebel	{2}{U}	3	U	RU	Fight, Scry		verify analyzer roles	https://scryfall.com/card/ulst/10/alexander-clamilton?utm_source=api	Whenever you cast a wordy spell, scry 2. (A spell is wordy if it has four or more lines of rules text.) {1}{R}, {T}: Choose target creature you don't control. Reveal the top card of your library. Alexander Clamilton gets +X/+0 until end of turn, where X is the number of lines of rules text of the revealed card. Alexander Clamilton fights that creature.
ulst	The List (Unfinity Foil Edition)	2022-10-07	11	Animate Library	f785133a-636a-487d-8d56-e07012e5d732			combat_support, replacement_engine				Enchantment — Aura	{4}{U}{U}	6	U	U	Enchant		verify analyzer roles	https://scryfall.com/card/ulst/11/animate-library?utm_source=api	Enchant your library Enchanted library is an artifact creature on the battlefield with power and toughness each equal to the number of cards in it. It's still a library. If enchanted library would leave the battlefield, exile this Aura instead.
ulst	The List (Unfinity Foil Edition)	2022-10-07	12	Avatar of Me	23f3e8ef-28c0-4a7f-adb1-af07bd0e1a05			combat_body				Creature — Avatar	{2}{U}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/ulst/12/avatar-of-me?utm_source=api	This spell costs {1} more to cast for each ten years you've been alive. Avatar of Me's power is equal to your height in feet and its toughness is equal to your American shoe size. Round to the nearest ½. Avatar of Me is the color of your eyes.
ulst	The List (Unfinity Foil Edition)	2022-10-07	13	B.O.B. (Bevy of Beebles)	c33af24f-3371-4af9-af33-940078d3cef2			card_draw, combat_support, counter_support, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support, scalable_spell, token_support				Legendary Planeswalker — B.O.B.	{3}{U}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/ulst/13/bob-(bevy-of-beebles)?utm_source=api	As B.O.B. enters, create four 1/1 blue Beeble creature tokens. The number of loyalty counters on B.O.B. is equal to the number of Beebles you control. (Create or sacrifice Beebles whenever B.O.B. gains or loses loyalty.) +1: Up to X target Beebles can't be blocked this turn, where X is the number of cards in your hand. −1: Draw a card.
ulst	The List (Unfinity Foil Edition)	2022-10-07	14	Clocknapper	cf2b584a-68ed-4a07-b907-9ec4b9f5a27b			combat_body, replacement_engine				Creature — Human Spy	{3}{U}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/ulst/14/clocknapper?utm_source=api	When this creature enters, choose beginning phase, first main phase, combat phase, postcombat main phase, or ending phase. Steal that phase from target player during their next turn. (That phase occurs as though it's your turn instead.)
ulst	The List (Unfinity Foil Edition)	2022-10-07	15	Graveyard Busybody	f3db778f-4405-4b5b-94f2-25d0c7b8828b			combat_body, combat_support				Creature — Human Spy	{4}{U}{U}	6	U	U			verify analyzer roles	https://scryfall.com/card/ulst/15/graveyard-busybody?utm_source=api	All graveyards are also your graveyards. Graveyard Busybody's power and toughness are each equal to the number of cards with flavor text in your graveyards.
ulst	The List (Unfinity Foil Edition)	2022-10-07	16	Incite Insight	3eb5dabf-1c38-4c79-b5df-aa52c97d2c3b			face_down_support, mana_sink, scalable_spell				Sorcery	{X}{U}{U}	2	U	U	Assemble		verify analyzer roles	https://scryfall.com/card/ulst/16/incite-insight?utm_source=api	Assemble X Contraptions. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)
ulst	The List (Unfinity Foil Edition)	2022-10-07	17	Richard Garfield, Ph.D.	f2a71b45-85dd-448c-9dc0-6564b3411adf			combat_body, replacement_engine				Legendary Creature — Human Designer	{3}{U}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/ulst/17/richard-garfield-phd?utm_source=api	You may play cards as though they were other cards of your choice with the same mana cost. You can't choose the same card twice. (Mana cost includes color.)
ulst	The List (Unfinity Foil Edition)	2022-10-07	18	Acornelia, Fashionable Filcher	c4edcdc0-91de-410c-95dd-219efcef692a			combat_body, combat_support, removal, sacrifice_support, scalable_spell, targeted_removal				Legendary Creature — Squirrel	{3}{B}	4	B	BG			verify analyzer roles	https://scryfall.com/card/ulst/18/acornelia-fashionable-filcher?utm_source=api	Whenever you cast a spell with a squirrel in its art, you get {A} (an acorn counter). Whenever a Squirrel you control enters or dies, you get {A}. {2}{B}, Pay X {A}: Target creature gets -X/-X until end of turn. {G}, Pay X {A}: Target creature gets +X/+X until end of turn.
ulst	The List (Unfinity Foil Edition)	2022-10-07	19	Enter the Dungeon	43693907-7bc0-4b2a-a898-e24256e1d923			alternate_play, direct_tutor, life_pressure, subgame, tutor				Sorcery	{B}{B}	2	B	B			verify analyzer roles	https://scryfall.com/card/ulst/19/enter-the-dungeon?utm_source=api	Players play a Magic subgame under the table, starting at 5 life and using their libraries as their decks. The winner searches their library for two cards, puts those cards into their hand, then shuffles.
ulst	The List (Unfinity Foil Edition)	2022-10-07	20	Infernal Spawn of Infernal Spawn of Evil	cc2eb755-1260-461f-803e-b74adaf041ac			combat_body, combat_threat				Creature — Demon Child	{8}{B}{B}	10	B	B	Flying, First strike, Trample		verify analyzer roles	https://scryfall.com/card/ulst/20/infernal-spawn-of-infernal-spawn-of-evil?utm_source=api	Flying, first strike, trample Once each turn, while you're searching your library, you may pay {1}{B}, reveal this card from your library and say "I'm coming, too" If you do, this card deals 2 damage to a player of your choice.
ulst	The List (Unfinity Foil Edition)	2022-10-07	21	Infernius Spawnington III, Esq.	e3ea4d64-0f36-43ab-9c2c-2c659b7398b0			combat_body, combat_threat, targeted_removal				Creature — Demon Beast Grandchild	{10}{B}	11	B	B	Flying, First strike, Haste, Trample		verify analyzer roles	https://scryfall.com/card/ulst/21/infernius-spawnington-iii-esq?utm_source=api	Flying, first strike, trample, haste This spell costs {3} less to cast for each card you've revealed this turn. When this creature enters, you may say "I'm here." If you do, it deals 3 damage to target player.
ulst	The List (Unfinity Foil Edition)	2022-10-07	22	Masterful Ninja	ca43218e-b7ad-442a-a546-52bcd86c3974			combat_body, combat_support, combat_threat				Creature — Troll Ninja	{2}{B}	3	B	B	Haste		verify analyzer roles	https://scryfall.com/card/ulst/22/masterful-ninja?utm_source=api	Haste Reveal this card from your hand: Masterful Ninja is on the battlefield and in your hand until end of turn. {1}{B}: This creature gets +1/+1 until end of turn.
ulst	The List (Unfinity Foil Edition)	2022-10-07	23	Over My Dead Bodies	0e650466-5662-460c-8b36-b9e050cebd09			combat_support, replacement_engine				Enchantment	{4}{B}{B}	6	B	B			verify analyzer roles	https://scryfall.com/card/ulst/23/over-my-dead-bodies?utm_source=api	Creature cards in graveyards can attack and block as though they were on the battlefield, can block or be blocked only by creature cards in graveyards, are Zombies in addition to their other types, and have undeathtouch. (If they would deal damage to a creature card, exile that creature card instead.) Creature cards in your graveyard have haste.
ulst	The List (Unfinity Foil Edition)	2022-10-07	24	Spike, Tournament Grinder	004b2032-0d29-4361-b9c8-a3c0c7b63e2c			combat_body				Legendary Creature — Human Gamer	{2}{B/P}{B/P}	4	B	B			verify analyzer roles	https://scryfall.com/card/ulst/24/spike-tournament-grinder?utm_source=api	({B/P} can be paid with either {B} or 2 life.) {B/P}{B/P}{B/P}{B/P}: Reveal a card you own from outside the game that has been banned or restricted in a Constructed format and put it into your hand.
