setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ust	Unstable	2017-12-08	1	Adorable Kitten	748d5353-b66c-4d7a-8c55-0d28fefb1e2a			combat_body, dice_support, lifegain				Host Creature — Cat	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ust/1/adorable-kitten?utm_source=api	When this creature enters, roll a six-sided die. You gain life equal to the result.
ust	Unstable	2017-12-08	2	Aerial Toastmaster	0812efc4-ae7b-474c-b385-55b5b73a811e			combat_body, combat_threat, face_down_support, sacrifice_support				Artifact Creature — Cyborg Rigger	{3}{W}	4	W	W	Flying, Assemble		verify analyzer roles	https://scryfall.com/card/ust/2/aerial-toastmaster?utm_source=api	Flying {3}{W}, Sacrifice another artifact: This creature assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)
ust	Unstable	2017-12-08	3a	Amateur Auteur	38e36eb0-f3a9-42d7-9223-417d23e434fa			combat_body, removal, sacrifice_support, targeted_removal				Creature — Human	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ust/3a/amateur-auteur?utm_source=api	Sacrifice this creature: Destroy target enchantment.
ust	Unstable	2017-12-08	4	By Gnome Means	bc827191-e7ed-45ae-a084-a19d16b936e3			counter_support, sacrifice_support, token_support				Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ust/4/by-gnome-means?utm_source=api	{1}{W}, Remove a counter from a permanent you control: Create a 1/1 colorless Gnome artifact creature token. {1}{W}, Sacrifice an artifact: Choose any kind of counter a printed card refers to, then put one of that counter on target permanent.
ust	Unstable	2017-12-08	5	Chivalrous Chevalier	c9eef620-4731-4e23-8a96-0f6570741808			combat_body, combat_threat				Artifact Creature — Cyborg Knight	{4}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ust/5/chivalrous-chevalier?utm_source=api	Flying When this creature enters, return a creature you control to its owner's hand unless you compliment an opponent.
ust	Unstable	2017-12-08	6	Do-It-Yourself Seraph	d69a899e-a77b-40eb-a9e0-2d9c5056122d			combat_body, combat_support, combat_threat, repeatable_tutor, restricted_tutor, tutor				Artifact Creature — Cyborg Angel	{4}{W}{W}	6	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ust/6/do-it-yourself-seraph?utm_source=api	Flying Whenever this creature attacks, you may search your library for an artifact card, exile it, then shuffle. This creature has the text box of each card exiled with this creature in addition to its own.
ust	Unstable	2017-12-08	7	Gimme Five	b8323d2b-3baf-4143-a821-01509349a689			lifegain				Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ust/7/gimme-five?utm_source=api	You gain 1 life for each person who high-fives you in the next thirty seconds. Each player in an Un-game who high-fives you gains 1 life. (Offer high fives. Don't hit people.)
ust	Unstable	2017-12-08	8	GO TO JAIL	68e13ae5-c9fe-45e7-86ae-070b903df429			dice_support, removal, sacrifice_support, targeted_removal				Enchantment	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ust/8/go-to-jail?utm_source=api	When this enchantment enters, exile target creature an opponent controls until this enchantment leaves the battlefield. At the beginning of the upkeep of the exiled card's owner, that player rolls two six-sided dice. If they roll doubles, sacrifice this enchantment.
ust	Unstable	2017-12-08	9	Half-Kitten, Half-	d7e6fdc7-5c08-4832-9cf9-4e697db7eb4a			combat_body				Creature — Cat		0	W	W	Augment		verify analyzer roles	https://scryfall.com/card/ust/9/half-kitten-half-?utm_source=api	Whenever you're dealt damage, Augment {2}{W} ({2}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)
ust	Unstable	2017-12-08	10	Humming-	05c348e3-79f2-4193-863b-a64577839a97			combat_body, combat_support, combat_threat				Creature — Bird		0	W	W	Flying, Augment		verify analyzer roles	https://scryfall.com/card/ust/10/humming-?utm_source=api	Flying Whenever you attack with two or more creatures, Augment {3}{W} ({3}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)
ust	Unstable	2017-12-08	11	Jackknight	81025603-f62b-4635-bbf1-5814cc60d615			artifact_support, combat_body, combat_support, counter_support, lifegain				Artifact Creature — Cyborg Knight	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ust/11/jackknight?utm_source=api	Whenever another artifact you control enters, put a +1/+1 counter on this creature. If that artifact is a Contraption, this creature gains lifelink until end of turn.
ust	Unstable	2017-12-08	12a	Knight of the Kitchen Sink	849dd2f2-c89a-46fb-bb89-7c506e9f7e82			combat_body, combat_threat, self_protection				Artifact Creature — Cyborg Knight	{W}{W}	2	W	W	First strike, Protection		verify analyzer roles	https://scryfall.com/card/ust/12a/knight-of-the-kitchen-sink?utm_source=api	First strike, protection from black borders (Nothing with a black border can block, target, deal damage to, or attach to this creature.)
ust	Unstable	2017-12-08	12b	Knight of the Kitchen Sink	ea7aaf0f-0bb3-453f-9a7a-803bad0e77cd			combat_body, combat_threat, self_protection				Artifact Creature — Cyborg Knight	{W}{W}	2	W	W	First strike, Protection		verify analyzer roles	https://scryfall.com/card/ust/12b/knight-of-the-kitchen-sink?utm_source=api	First strike, protection from even collector numbers (Nothing with an even collector number can block, target, deal damage to, or attach to this creature.)
ust	Unstable	2017-12-08	12c	Knight of the Kitchen Sink	2e4009bf-6afc-43b6-8812-1f1d3b20d8e2			combat_body, combat_threat, self_protection				Artifact Creature — Cyborg Knight	{W}{W}	2	W	W	First strike, Protection		verify analyzer roles	https://scryfall.com/card/ust/12c/knight-of-the-kitchen-sink?utm_source=api	First strike, protection from loose lips (Nothing with an open mouth in its artwork can block, target, deal damage to, or attach to this creature.)
