setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
vma	Vintage Masters	2014-06-16	1	Ancestral Recall	550c74d4-1fcb-406a-b02a-639a760a4380	covered	card_draw	card_draw	false		Covered by PRM role audit.	Instant	{U}	1	U	U			already reviewed	https://scryfall.com/card/vma/1/ancestral-recall?utm_source=api	Target player draws three cards.
vma	Vintage Masters	2014-06-16	2	Time Walk	d0209d3f-3f7e-4fd5-bce5-10bce6f29c86	covered	extra_turn, finisher	extra_turn, finisher	false		Covered by Alpha role audit batch 1.	Sorcery	{1}{U}	2	U	U			already reviewed	https://scryfall.com/card/vma/2/time-walk?utm_source=api	Take an extra turn after this one.
vma	Vintage Masters	2014-06-16	3	Timetwister	c823e687-6311-4c99-974b-fd77d204141a	covered	card_draw	card_draw	false		Covered by PRM role audit.	Sorcery	{2}{U}	3	U	U			already reviewed	https://scryfall.com/card/vma/3/timetwister?utm_source=api	Each player shuffles their hand and graveyard into their library, then draws seven cards. (Then put Timetwister into its owner's graveyard.)
vma	Vintage Masters	2014-06-16	4	Black Lotus	5089ec1a-f881-4d55-af14-5d996171203b	covered	burst_ramp, sacrifice_support	burst_ramp, sacrifice_support	false		Covered by PRM role audit.	Artifact	{0}	0					already reviewed	https://scryfall.com/card/vma/4/black-lotus?utm_source=api	{T}, Sacrifice this artifact: Add three mana of any one color.
vma	Vintage Masters	2014-06-16	5	Mox Emerald	376ee366-e082-402f-b4db-6592fcfcacd2	covered	ramp, stable_ramp	ramp, stable_ramp	false		Covered by PRM role audit.	Artifact	{0}	0		G			already reviewed	https://scryfall.com/card/vma/5/mox-emerald?utm_source=api	{T}: Add {G}.
vma	Vintage Masters	2014-06-16	6	Mox Jet	0677f49e-f8bf-4349-af52-2ccde9287c2e	covered	ramp, stable_ramp	ramp, stable_ramp	false		Covered by PRM role audit.	Artifact	{0}	0		B			already reviewed	https://scryfall.com/card/vma/6/mox-jet?utm_source=api	{T}: Add {B}.
vma	Vintage Masters	2014-06-16	7	Mox Pearl	824597b8-c89a-47ec-8526-7efc6e24ef0e	covered	ramp, stable_ramp	ramp, stable_ramp	false		Covered by PRM role audit.	Artifact	{0}	0		W			already reviewed	https://scryfall.com/card/vma/7/mox-pearl?utm_source=api	{T}: Add {W}.
vma	Vintage Masters	2014-06-16	8	Mox Ruby	ed85fa82-e4fa-434b-92a8-36b6075708d1	covered	ramp, stable_ramp	ramp, stable_ramp	false		Covered by PRM role audit.	Artifact	{0}	0		R			already reviewed	https://scryfall.com/card/vma/8/mox-ruby?utm_source=api	{T}: Add {R}.
vma	Vintage Masters	2014-06-16	9	Mox Sapphire	d5ed1233-df87-4b90-8918-13922ec95249	covered	ramp, stable_ramp	ramp, stable_ramp	false		Covered by PRM role audit.	Artifact	{0}	0		U			already reviewed	https://scryfall.com/card/vma/9/mox-sapphire?utm_source=api	{T}: Add {U}.
vma	Vintage Masters	2014-06-16	10	Afterlife	4c13e2b5-961a-4031-84b1-15bd19b94286	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Mirage role audit.	Instant	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/vma/10/afterlife?utm_source=api	Destroy target creature. It can't be regenerated. Its controller creates a 1/1 white Spirit creature token with flying.
vma	Vintage Masters	2014-06-16	11	Akroma's Blessing	a3fc6888-0a4b-4e1d-b709-042b8b6b1a04	covered		broad_protection, card_draw, direct_draw, draw, protection, selection, self_protection	false		Covered by ONS role audit.	Instant	{2}{W}	3	W	W	Cycling		already reviewed	https://scryfall.com/card/vma/11/akromas-blessing?utm_source=api	Choose a color. Creatures you control gain protection from the chosen color until end of turn. Cycling {W} ({W}, Discard this card: Draw a card.)
vma	Vintage Masters	2014-06-16	12	Armageddon	c9ed8b01-959a-47d6-891e-0abbdccf6e4f	covered	hate_piece, land_denial, mass_land_denial, mass_removal, removal, stax_piece	hate_piece, land_denial, mass_land_denial, mass_removal, removal, stax_piece	false		Covered by Alpha role audit batch 1.	Sorcery	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/vma/12/armageddon?utm_source=api	Destroy all lands.
vma	Vintage Masters	2014-06-16	13	Astral Slide	70f14b10-8129-4249-a267-8b4be5d9befa	covered		targeted_removal	false		Covered by PRM role audit.	Enchantment	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/vma/13/astral-slide?utm_source=api	Whenever a player cycles a card, you may exile target creature. If you do, return that card to the battlefield under its owner's control at the beginning of the next end step.
vma	Vintage Masters	2014-06-16	14	Balance	17fa98cd-ed8f-483f-9525-7e989a82ebb2	covered	sacrifice_support, targeted_removal	sacrifice_support, targeted_removal	false		Covered by PRM role audit.	Sorcery	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/vma/14/balance?utm_source=api	Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.
vma	Vintage Masters	2014-06-16	15	Battle Screech	e73131cd-b454-405b-9539-9d777e232b9e	covered		graveyard_support, token_support	false		Covered by JUD role audit.	Sorcery	{2}{W}{W}	4	W	W	Flashback		already reviewed	https://scryfall.com/card/vma/15/battle-screech?utm_source=api	Create two 1/1 white Bird creature tokens with flying. Flashback—Tap three untapped white creatures you control. (You may cast this card from your graveyard for its flashback cost. Then exile it.)
vma	Vintage Masters	2014-06-16	16	Benalish Trapper	d45c6c3f-6079-40c1-9083-06f2f2431bcc	covered		combat_body, removal, tempo_removal	false		Covered by INV role audit.	Creature — Human Soldier	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/vma/16/benalish-trapper?utm_source=api	{W}, {T}: Tap target creature.
