setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
voc	Crimson Vow Commander	2021-11-19	1	Millicent, Restless Revenant	71766a05-62a5-4839-b9bf-f5dcde710251	covered		combat_body, combat_support, combat_threat, sacrifice_support, token_support	false		Covered by PRM role audit.	Legendary Creature — Spirit Soldier	{5}{W}{U}	7	UW	UW	Flying, Affinity		already reviewed	https://scryfall.com/card/voc/1/millicent-restless-revenant?utm_source=api	Affinity for Spirits (This spell costs {1} less to cast for each Spirit you control.) Flying Whenever Millicent or another nontoken Spirit you control dies or deals combat damage to a player, create a 1/1 white Spirit creature token with flying.
voc	Crimson Vow Commander	2021-11-19	2	Strefan, Maurer Progenitor	3cc745d2-5021-43ff-ace8-35011011e62a	covered	combat_body, combat_support, combat_threat, sacrifice_support, self_protection, targeted_removal, token_support	combat_body, combat_support, combat_threat, sacrifice_support, self_protection, targeted_removal, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Vampire Noble	{2}{B}{R}	4	BR	BR	Flying		verify analyzer roles	https://scryfall.com/card/voc/2/strefan-maurer-progenitor?utm_source=api	Flying At the beginning of your end step, create a Blood token for each player who lost life this turn. Whenever Strefan attacks, you may sacrifice two Blood tokens. If you do, you may put a Vampire card from your hand onto the battlefield tapped and attacking. It gains indestructible until end of turn.
voc	Crimson Vow Commander	2021-11-19	3	Donal, Herald of Wings	1c9f2b6e-a0eb-493e-8c43-3a14f6d95a53	covered		combat_body	false		Covered by PRM role audit.	Legendary Creature — Human Wizard	{2}{U}{U}	4	U	U			already reviewed	https://scryfall.com/card/voc/3/donal-herald-of-wings?utm_source=api	Whenever you cast a nonlegendary creature spell with flying, you may copy it, except the copy is a 1/1 Spirit in addition to its other types. Do this only once each turn. (The copy becomes a token.)
voc	Crimson Vow Commander	2021-11-19	4	Timothar, Baron of Bats	82e03151-3990-451c-99cc-c7d386872df2	covered	combat_body, combat_support, sacrifice_support, self_protection, token_support	combat_body, combat_support, sacrifice_support, self_protection, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Vampire Noble	{4}{B}{B}	6	B	B	Ward		verify analyzer roles	https://scryfall.com/card/voc/4/timothar-baron-of-bats?utm_source=api	Ward—Discard a card. Whenever another nontoken Vampire you control dies, you may pay {1} and exile it. If you do, create a 1/1 black Bat creature token with flying. It gains "When this token deals combat damage to a player, sacrifice it and return the exiled card to the battlefield tapped."
voc	Crimson Vow Commander	2021-11-19	5	Drogskol Reinforcements	6d174448-52f5-4439-9586-3abc5af940d7	covered		combat_body, combat_support	false		Covered by PRM role audit.	Creature — Spirit Soldier	{3}{W}	4	W	W	Melee		already reviewed	https://scryfall.com/card/voc/5/drogskol-reinforcements?utm_source=api	Melee (Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked this combat.) Other Spirits you control have melee. Prevent all noncombat damage that would be dealt to Spirits you control.
voc	Crimson Vow Commander	2021-11-19	6	Haunted Library	e787ec12-ba0f-4a85-af6b-422423c90155	covered		sacrifice_support, token_support	false		Covered by PRM role audit.	Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/voc/6/haunted-library?utm_source=api	Whenever a creature an opponent controls dies, you may pay {1}. If you do, create a 1/1 white Spirit creature token with flying.
voc	Crimson Vow Commander	2021-11-19	7	Priest of the Blessed Graf	726dbbce-cd5e-4605-aa1d-ae5ec80cc8cf	covered	combat_body, combat_support, scalable_spell, token_support	combat_body, combat_support, scalable_spell, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Cleric	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/voc/7/priest-of-the-blessed-graf?utm_source=api	At the beginning of your end step, create X 1/1 white Spirit creature tokens with flying, where X is the number of opponents who control more lands than you.
voc	Crimson Vow Commander	2021-11-19	8	Rhoda, Geist Avenger	3579e40c-6ec5-4927-8252-5a188db400ab	covered		combat_body, combat_threat, counter_support	false		Covered by PRM role audit.	Legendary Creature — Human Soldier	{3}{W}	4	W	W	Partner with, Vigilance, Partner		already reviewed	https://scryfall.com/card/voc/8/rhoda-geist-avenger?utm_source=api	Partner with Timin, Youthful Geist (When this creature enters, target player may put Timin into their hand from their library, then shuffle.) Vigilance Whenever a creature an opponent controls becomes tapped, if it isn't being declared as an attacker, put a +1/+1 counter on Rhoda.
voc	Crimson Vow Commander	2021-11-19	9	Storm of Souls	7022ae9a-2589-493b-a050-a230fd02f80b	covered		card_selection, mass_recursion, recursion	false		Covered by PRM role audit.	Sorcery	{4}{W}{W}	6	W	W			already reviewed	https://scryfall.com/card/voc/9/storm-of-souls?utm_source=api	Return all creature cards from your graveyard to the battlefield. Each of them is a 1/1 Spirit with flying in addition to its other types. Exile Storm of Souls.
voc	Crimson Vow Commander	2021-11-19	10	Sudden Salvation	a5b0f351-5536-41ec-aa09-1e5344a0effb	covered	card_draw, direct_draw, draw	card_draw, direct_draw, draw	false		Analyzer roles accepted during batch clean pass.	Instant	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/voc/10/sudden-salvation?utm_source=api	Choose up to three target permanent cards in graveyards that were put there from the battlefield this turn. Return them to the battlefield tapped under their owners' control. You draw a card for each opponent who controls one or more of those permanents.
