setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
vow	Innistrad: Crimson Vow	2021-11-19	1	Adamant Will	467e22c3-6107-40ff-afc7-5960710c970b	covered	combat_support, protection, self_protection, targeted_protection	combat_support, protection, self_protection, targeted_protection	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/vow/1/adamant-will?utm_source=api	Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say "destroy" don't destroy it.)
vow	Innistrad: Crimson Vow	2021-11-19	2	Angelic Quartermaster	14a555eb-9720-45b4-9eb5-77b739e1045c	covered	combat_body, combat_threat, counter_support	combat_body, combat_threat, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Angel Soldier	{3}{W}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/vow/2/angelic-quartermaster?utm_source=api	Flying When this creature enters, put a +1/+1 counter on each of up to two other target creatures.
vow	Innistrad: Crimson Vow	2021-11-19	3	Arm the Cathars	c6a1a91f-46b9-4e41-a3d3-3423b02c42a5	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Sorcery	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/vow/3/arm-the-cathars?utm_source=api	Until end of turn, target creature gets +3/+3, up to one other target creature gets +2/+2, and up to one other target creature gets +1/+1. Those creatures gain vigilance until end of turn.
vow	Innistrad: Crimson Vow	2021-11-19	4	Bride's Gown	63e6c80a-a7c7-4c98-b760-271c36425dd1	covered	artifact_support, combat_support	artifact_support, combat_support	false		Analyzer roles accepted during batch clean pass.	Artifact — Equipment	{1}{W}	2	W	W	Equip		verify analyzer roles	https://scryfall.com/card/vow/4/brides-gown?utm_source=api	Equipped creature gets +2/+0. It gets an additional +0/+2 and has first strike as long as an Equipment named Groom's Finery is attached to a creature you control. Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)
vow	Innistrad: Crimson Vow	2021-11-19	5	By Invitation Only	d64e96bf-6815-462c-93b4-c9c22dc43eda	covered		removal, targeted_removal	false		Covered by PRM role audit.	Sorcery	{3}{W}{W}	5	W	W			already reviewed	https://scryfall.com/card/vow/5/by-invitation-only?utm_source=api	Choose a number between 0 and 13. Each player sacrifices that many creatures of their choice.
vow	Innistrad: Crimson Vow	2021-11-19	6	Cemetery Protector	34c8fffd-1b23-4f40-ad29-1f0acb519e7e	covered		combat_body, token_support	false		Covered by PRM role audit.	Creature — Human Soldier	{2}{W}{W}	4	W	W	Flash		already reviewed	https://scryfall.com/card/vow/6/cemetery-protector?utm_source=api	Flash When this creature enters, exile a card from a graveyard. Whenever you play a land or cast a spell, if it shares a card type with the exiled card, create a 1/1 white Human creature token.
vow	Innistrad: Crimson Vow	2021-11-19	7	Circle of Confinement	d1cd7a93-4b83-4755-90bc-17cb64bfb131	covered	lifegain, removal, targeted_removal	lifegain, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/vow/7/circle-of-confinement?utm_source=api	When this enchantment enters, exile target creature an opponent controls with mana value 3 or less until this enchantment leaves the battlefield. Whenever an opponent casts a Vampire spell with the same name as a card exiled with this enchantment, you gain 2 life.
vow	Innistrad: Crimson Vow	2021-11-19	8	Dawnhart Geist	ed7a2ee0-289d-4e5f-92e0-1539395baf33	covered	combat_body, lifegain	combat_body, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Spirit Warlock	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/vow/8/dawnhart-geist?utm_source=api	Whenever you cast an enchantment spell, you gain 2 life.
vow	Innistrad: Crimson Vow	2021-11-19	9	Distracting Geist // Clever Distraction	2fcd5779-7234-49e3-b3c5-ebc07db74462	covered	combat_body, combat_support, graveyard_support, removal, replacement_engine, tempo_removal	combat_body, combat_support, graveyard_support, removal, replacement_engine, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Spirit // Enchantment — Aura		3		W	Transform, Enchant, Disturb		verify analyzer roles	https://scryfall.com/card/vow/9/distracting-geist-clever-distraction?utm_source=api	Distracting Geist: Whenever this creature attacks, tap target creature defending player controls. Disturb {4}{W} (You may cast this card from your graveyard transformed for its disturb cost.) // Clever Distraction: Enchant creature Enchanted creature has "Whenever this creature attacks, tap target creature defending player controls." If Clever Distraction would be put into a graveyard from anywhere, exile it instead.
vow	Innistrad: Crimson Vow	2021-11-19	10	Drogskol Infantry // Drogskol Armaments	389bcb9f-4e66-4704-9968-a1c1574ec2c8	covered	combat_body, combat_support, graveyard_support, replacement_engine	combat_body, combat_support, graveyard_support, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Creature — Spirit Soldier // Enchantment — Aura		2		W	Transform, Enchant, Disturb		verify analyzer roles	https://scryfall.com/card/vow/10/drogskol-infantry-drogskol-armaments?utm_source=api	Drogskol Infantry: Disturb {3}{W} (You may cast this card from your graveyard transformed for its disturb cost.) // Drogskol Armaments: Enchant creature Enchanted creature gets +2/+2. If Drogskol Armaments would be put into a graveyard from anywhere, exile it instead.
vow	Innistrad: Crimson Vow	2021-11-19	11	Estwald Shieldbasher	a9f111aa-5d34-4317-9a03-35cd94a888c7	covered	combat_body, combat_support, self_protection	combat_body, combat_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/vow/11/estwald-shieldbasher?utm_source=api	Whenever this creature attacks, you may pay {1}. If you do, it gains indestructible until end of turn. (Damage and effects that say "destroy" don't destroy it.)
vow	Innistrad: Crimson Vow	2021-11-19	12	Faithbound Judge // Sinner's Judgment	830e3e37-a80c-4b0e-b9af-393ad4ca01d7	covered		combat_body, combat_support, combat_threat, counter_support, graveyard_support, replacement_engine	false		Covered by PRM role audit.	Creature — Spirit Soldier // Enchantment — Aura Curse		3		W	Flying, Vigilance, Enchant, Defender, Disturb		already reviewed	https://scryfall.com/card/vow/12/faithbound-judge-sinners-judgment?utm_source=api	Faithbound Judge: Defender, flying, vigilance At the beginning of your upkeep, if this creature has two or fewer judgment counters on it, put a judgment counter on it. As long as this creature has three or more judgment counters on it, it can attack as though it didn't have defender. Disturb {5}{W}{W} // Sinner's Judgment: Enchant player At the beginning of your upkeep, put a judgment counter on this Aura. Then if there are three or more judgment counters on it, enchanted player loses the game. If Sinner's Judgment would be put into a graveyard from anywhere, exile it instead.
vow	Innistrad: Crimson Vow	2021-11-19	13	Fierce Retribution	83094dd2-b8e9-4753-a8a0-657b446def60	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W	Cleave		verify analyzer roles	https://scryfall.com/card/vow/13/fierce-retribution?utm_source=api	Cleave {5}{W} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.) Destroy target [attacking] creature.
