setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
w17	Welcome Deck 2017	2017-04-15	1	Divine Verdict	3070f997-24f2-471d-af96-a2f3b588198e	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/w17/1/divine-verdict?utm_source=api	Destroy target attacking or blocking creature.
w17	Welcome Deck 2017	2017-04-15	2	Glory Seeker	55c60b29-52c5-428c-9229-11ed0e26bd71	covered		combat_body	false		Covered by ONS role audit.	Creature — Human Soldier	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/w17/2/glory-seeker?utm_source=api	
w17	Welcome Deck 2017	2017-04-15	3	Serra Angel	4b7ac066-e5c7-43e6-9e7e-2739b24a905d	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by ATH role audit.	Creature — Angel	{3}{W}{W}	5	W	W	Flying, Vigilance		already reviewed	https://scryfall.com/card/w17/3/serra-angel?utm_source=api	Flying Vigilance (Attacking doesn't cause this creature to tap.)
w17	Welcome Deck 2017	2017-04-15	4	Standing Troops	9e9d5242-424d-4f61-b625-806295dbb0c7	covered		combat_body, combat_threat	false		Covered by 6ED role audit.	Creature — Human Soldier	{2}{W}	3	W	W	Vigilance		already reviewed	https://scryfall.com/card/w17/4/standing-troops?utm_source=api	Vigilance
w17	Welcome Deck 2017	2017-04-15	5	Stormfront Pegasus	b35c1b30-c1dc-489f-bd79-ad6566fb9389	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Pegasus	{1}{W}	2	W	W	Flying		verify analyzer roles	https://scryfall.com/card/w17/5/stormfront-pegasus?utm_source=api	Flying
w17	Welcome Deck 2017	2017-04-15	6	Victory's Herald	e410f80f-cf67-46ff-aeb3-da0204237d66	covered	combat_body, combat_support, combat_threat, lifegain	combat_body, combat_support, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{3}{W}{W}{W}	6	W	W	Flying		verify analyzer roles	https://scryfall.com/card/w17/6/victorys-herald?utm_source=api	Flying Whenever this creature attacks, attacking creatures gain flying and lifelink until end of turn.
w17	Welcome Deck 2017	2017-04-15	7	Air Elemental	7744bae4-a8b7-44a5-9b4c-0048ad4cc448	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by 6ED role audit.	Creature — Elemental	{3}{U}{U}	5	U	U	Flying		already reviewed	https://scryfall.com/card/w17/7/air-elemental?utm_source=api	Flying
w17	Welcome Deck 2017	2017-04-15	8	Coral Merfolk	4ed27607-21a8-4bc3-997e-6d2242313f6d	covered		combat_body	false		Covered by USG role audit.	Creature — Merfolk	{1}{U}	2	U	U			already reviewed	https://scryfall.com/card/w17/8/coral-merfolk?utm_source=api	
w17	Welcome Deck 2017	2017-04-15	9	Drag Under	021d8596-782a-4cfd-8b70-ac5bb8a5aff1	covered	card_draw, direct_draw, draw, removal, tempo_removal	card_draw, direct_draw, draw, removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/w17/9/drag-under?utm_source=api	Return target creature to its owner's hand. Draw a card.
w17	Welcome Deck 2017	2017-04-15	10	Inspiration	8f32ceb2-92c2-4dde-bf73-40bb79c3fcef	covered	card_draw	card_draw	false		Covered by Visions role audit.	Instant	{3}{U}	4	U	U			already reviewed	https://scryfall.com/card/w17/10/inspiration?utm_source=api	Target player draws two cards.
