setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
wc01	World Championship Decks 2001	2001-08-08	0	2001 World Championships Ad	f2f5fdc5-1a36-47cc-84fb-e43dd9481c65	covered					Non-game insert or decklist card; no analyzer role needed.	Card		0					manual review	https://scryfall.com/card/wc01/0/2001-world-championships-ad?utm_source=api	
wc01	World Championship Decks 2001	2001-08-08	00	Blank Card	d3e7bc24-c2b0-4be3-b9d9-8a8d23b93bc7	covered			false		Blank non-gameplay memorabilia card; intentionally has no strategic role.	Card		0					already reviewed	https://scryfall.com/card/wc01/00/blank-card?utm_source=api	
wc01	World Championship Decks 2001	2001-08-08	ab0a	Alex Borteh Bio	bbb08757-3171-44c4-8cfe-c65637cee102	covered					Non-game insert or decklist card; no analyzer role needed.	Card		0					manual review	https://scryfall.com/card/wc01/ab0a/alex-borteh-bio?utm_source=api	Eighteen-year-old Alex Borteh came on strong in the last half of the 2000—2001 Pro Tour™ season. He posted an impressive Top 8 finish at U.S. Nationals and followed that up by coming within one match of winning this year's Worlds. The soon-to-be Ohio State University freshman played a monoblue combo deck that he liked to call "Da Folk." This deck wins by using Opposition and Static Orb to establish a lock down while legions of Merfolk overrun opponents' immobilized defenses.
wc01	World Championship Decks 2001	2001-08-08	ab0b	Alex Borteh Decklist	1ea8657f-2fb7-4a05-a92e-da31d334eaf9	covered					Non-game insert or decklist card; no analyzer role needed.	Card		0					manual review	https://scryfall.com/card/wc01/ab0b/alex-borteh-decklist?utm_source=api	
wc01	World Championship Decks 2001	2001-08-08	ar0a	Antoine Ruel Bio	9cf541a5-bfea-4cad-ae60-239b4d15be89	covered					Non-game insert or decklist card; no analyzer role needed.	Card		0					manual review	https://scryfall.com/card/wc01/ar0a/antoine-ruel-bio?utm_source=api	A member of the famous Team Block Ops, Antoine Ruel, a native of Aubervilliers, France, took his blue-black-red control deck to a third-place finish at this year's World Championships. Ruel credits his teammate Laurent Pagorek for the deck that he calls "AK-Go." The deck, which Ruel played to a 5—1 record during the Standard portion of the tournament, relies on card drawing (most notably Accumulated Knowledge, or "AK" for short), countermagic ("Go," for short), red for board control, and Nether Spirits for the win.
wc01	World Championship Decks 2001	2001-08-08	ar0b	Antoine Ruel Decklist	3fa22dfe-2020-4953-8586-b1562f08e128	covered					Non-game insert or decklist card; no analyzer role needed.	Card		0					manual review	https://scryfall.com/card/wc01/ar0b/antoine-ruel-decklist?utm_source=api	
wc01	World Championship Decks 2001	2001-08-08	jt0a	Jan Tomcani Bio	a5504345-e666-486b-9f45-f1e8fd23b3c5	covered					Non-game insert or decklist card; no analyzer role needed.	Card		0					manual review	https://scryfall.com/card/wc01/jt0a/jan-tomcani-bio?utm_source=api	Jan Tomcani, from Bratislava in the Slovak Republic, came out of nowhere to stun everyone by posting a perfect 6—0 record in the Standard portion of this year's Worlds. Tomcani then proved that his run was no fluke by working his way up to the quarterfinals, where he lost to Alex Borteh in a close five-game match. Tomcani played a version of "Fires," the green-red deck that defined much of this year's metagame. Tomcani's version, which splashed black, follows the normal Fires archetype of playing cheap creatures followed by Fires of Yavimaya and big creatures like Blastoderm or Spiritmonger.
wc01	World Championship Decks 2001	2001-08-08	jt0b	Jan Tomcani Decklist	f79c37a3-df31-4974-ba7f-6348a78fdde3	covered					Non-game insert or decklist card; no analyzer role needed.	Card		0					manual review	https://scryfall.com/card/wc01/jt0b/jan-tomcani-decklist?utm_source=api	
wc01	World Championship Decks 2001	2001-08-08	tvdl0a	Tom van de Logt Bio (2001)	169918f0-a29d-429a-b236-ecc4d5cf028f	covered					Non-game insert or decklist card; no analyzer role needed.	Card		0					manual review	https://scryfall.com/card/wc01/tvdl0a/tom-van-de-logt-bio-(2001)?utm_source=api	Tom van de Logt is the 2001 Netherlands National Champion as well as one of an elite group of players who have posted back-to-back World Championship Top 8 performances. Currently a student in Groesbeek, van de Logt posted an impressive 5—1 record in the Standard portion of this year's Worlds. He described his aggressive black-red "Machine Head" deck as "the deck that beats the deck that beats 'Fires.'" He liked the explosive "I win" draws that his deck provided, and he especially liked the way it performed against blue decks.
wc01	World Championship Decks 2001	2001-08-08	tvdl0b	Tom van de Logt Decklist (2001)	eb8e5b78-9f04-4ac5-9a64-1f6cf2e384f9	covered					Non-game insert or decklist card; no analyzer role needed.	Card		0					manual review	https://scryfall.com/card/wc01/tvdl0b/tom-van-de-logt-decklist-(2001)?utm_source=api	
