setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
wmom	MOM Japanese Promo Tokens	2023-04-21	1	Monk	bfa57f61-3811-43da-b73e-90e3e5b0b2c2	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Monk		0	W	W	Prowess		verify analyzer roles	https://scryfall.com/card/wmom/1/ja/monk?utm_source=api	Prowess
wmom	MOM Japanese Promo Tokens	2023-04-21	2	Soldier	a5ab7f2d-a434-4342-a178-754bdd0181b6	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Token Creature — Soldier		0	W	W	Lifelink		verify analyzer roles	https://scryfall.com/card/wmom/2/ja/soldier?utm_source=api	Lifelink
wmom	MOM Japanese Promo Tokens	2023-04-21	3	Knight	8d7d636d-4ae7-4411-8f45-fc57fead851e	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Knight		0	UW	UW	Vigilance		verify analyzer roles	https://scryfall.com/card/wmom/3/ja/knight?utm_source=api	Vigilance
wmom	MOM Japanese Promo Tokens	2023-04-21	4	Zombie	ddc8c973-c31e-463f-be45-f3fa7d632362	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Zombie		0	B	B			already reviewed	https://scryfall.com/card/wmom/4/ja/zombie?utm_source=api	
wmom	MOM Japanese Promo Tokens	2023-04-21	5	Dinosaur	fede3b66-1380-4b18-986a-27a9a145a3a0	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Dinosaur		0	G	G			verify analyzer roles	https://scryfall.com/card/wmom/5/ja/dinosaur?utm_source=api	
wmom	MOM Japanese Promo Tokens	2023-04-21	6	Thopter	7c0b6b53-4ddb-4bb5-8a26-0041b2006d3f	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Thopter		0			Flying		verify analyzer roles	https://scryfall.com/card/wmom/6/ja/thopter?utm_source=api	Flying
wmom	MOM Japanese Promo Tokens	2023-04-21	7	Vampire	97af46cb-6209-4ae7-81cc-792894999937	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Token Creature — Vampire		0	W	W	Lifelink		verify analyzer roles	https://scryfall.com/card/wmom/7/ja/vampire?utm_source=api	Lifelink (Damage dealt by this creature also causes you to gain that much life.)
wmom	MOM Japanese Promo Tokens	2023-04-21	8	Spirit	18ef473d-f958-4bff-8045-154f6adc6b04	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Spirit		0	BW	BW	Flying		verify analyzer roles	https://scryfall.com/card/wmom/8/ja/spirit?utm_source=api	Flying
wmom	MOM Japanese Promo Tokens	2023-04-21	9	Treasure	3c549374-6c37-42e0-8d88-a8555d46732d	covered	burst_ramp, mana_fixing, sacrifice_support	burst_ramp, mana_fixing, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Token Artifact — Treasure		0					verify analyzer roles	https://scryfall.com/card/wmom/9/ja/treasure?utm_source=api	{T}, Sacrifice this token: Add one mana of any color.
wmom	MOM Japanese Promo Tokens	2023-04-21	10	Phyrexian Saproling	e85bfbbc-7269-486b-992c-776ab45d5840	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Phyrexian Saproling		0	G	G			verify analyzer roles	https://scryfall.com/card/wmom/10/ja/phyrexian-saproling?utm_source=api	
wmom	MOM Japanese Promo Tokens	2023-04-21	11	Spirit	994879c3-48a7-4da5-9a42-46561fafdd69	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Spirit		0	RW	RW			verify analyzer roles	https://scryfall.com/card/wmom/11/ja/spirit?utm_source=api	
