setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
woe	Wilds of Eldraine	2023-09-08	1	Archon of the Wild Rose	180efbd4-0f77-41cc-8ae2-2e6ccf853d10	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Archon	{2}{W}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/woe/1/archon-of-the-wild-rose?utm_source=api	Flying Other creatures you control that are enchanted by Auras you control have base power and toughness 4/4 and have flying.
woe	Wilds of Eldraine	2023-09-08	2	Archon's Glory	bc5631ae-494e-4987-8d17-57674bfbdb9f	covered	combat_support, lifegain, sacrifice_support	combat_support, lifegain, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Instant	{W}	1	W	W	Bargain		verify analyzer roles	https://scryfall.com/card/woe/2/archons-glory?utm_source=api	Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.) Target creature gets +2/+2 until end of turn. If this spell was bargained, that creature also gains flying and lifelink until end of turn.
woe	Wilds of Eldraine	2023-09-08	3	Armory Mice	68f7d1bf-48c7-483e-b17f-a60008854b46	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Mouse	{1}{W}	2	W	W	Celebration		verify analyzer roles	https://scryfall.com/card/woe/3/armory-mice?utm_source=api	Celebration — This creature gets +0/+2 as long as two or more nonland permanents entered the battlefield under your control this turn.
woe	Wilds of Eldraine	2023-09-08	4	Besotted Knight // Betroth the Beast	c7b6d2cd-9105-404b-88f0-a67037fb2120	covered	combat_body, combat_support, self_protection, token_support	combat_body, combat_support, self_protection, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Knight // Sorcery — Adventure	{3}{W} // {W}	4	W	W	Role token		verify analyzer roles	https://scryfall.com/card/woe/4/besotted-knight-betroth-the-beast?utm_source=api	Besotted Knight:  // Betroth the Beast: Create a Royal Role token attached to target creature you control. (Enchanted creature gets +1/+1 and has ward {1}.)
woe	Wilds of Eldraine	2023-09-08	5	Break the Spell	b9d51e07-851f-4b7b-bffe-7c1efff0714c	covered	card_draw, direct_draw, draw, removal, targeted_removal	card_draw, direct_draw, draw, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/woe/5/break-the-spell?utm_source=api	Destroy target enchantment. If a permanent you controlled or a token was destroyed this way, draw a card.
woe	Wilds of Eldraine	2023-09-08	6	Charmed Clothier	ad0e6b12-a6bd-4860-9eac-68b2492d9567	covered	combat_body, combat_support, combat_threat, self_protection, token_support	combat_body, combat_support, combat_threat, self_protection, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Faerie Advisor	{4}{W}	5	W	W	Flying, Role token		verify analyzer roles	https://scryfall.com/card/woe/6/charmed-clothier?utm_source=api	Flying When this creature enters, create a Royal Role token attached to another target creature you control. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has ward {1}.)
woe	Wilds of Eldraine	2023-09-08	7	Cheeky House-Mouse // Squeak By	db70ddae-0ac1-47f2-9158-8448e337a08f	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Mouse // Sorcery — Adventure	{W} // {W}	1	W	W			verify analyzer roles	https://scryfall.com/card/woe/7/cheeky-house-mouse-squeak-by?utm_source=api	Cheeky House-Mouse:  // Squeak By: Target creature you control gets +1/+1 until end of turn. It can't be blocked by creatures with power 3 or greater this turn.
woe	Wilds of Eldraine	2023-09-08	8	Cooped Up	3e8bcb44-b875-4fe4-b96f-97a20cbfec93	covered	combat_support, removal, targeted_removal	combat_support, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{1}{W}	2	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/woe/8/cooped-up?utm_source=api	Enchant creature Enchanted creature can't attack or block. {2}{W}: Exile enchanted creature.
woe	Wilds of Eldraine	2023-09-08	9	Cursed Courtier	17916cf9-1e6c-41bd-96ce-2b050d828838	covered	combat_body, combat_threat, lifegain, token_support	combat_body, combat_threat, lifegain, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Noble	{2}{W}	3	W	W	Lifelink, Role token		verify analyzer roles	https://scryfall.com/card/woe/9/cursed-courtier?utm_source=api	Lifelink When this creature enters, create a Cursed Role token attached to it. (Enchanted creature is 1/1.)
woe	Wilds of Eldraine	2023-09-08	10	Discerning Financier	734a5186-caa6-4811-b6d7-91b7b32fc403	covered	burst_ramp, card_draw, combat_body, direct_draw, donation_support, draw, mana_fixing, ramp, repeatable_draw, sacrifice_support, token_support	burst_ramp, card_draw, combat_body, direct_draw, donation_support, draw, mana_fixing, ramp, repeatable_draw, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Noble	{2}{W}	3	W	W	Treasure		verify analyzer roles	https://scryfall.com/card/woe/10/discerning-financier?utm_source=api	At the beginning of your upkeep, if an opponent controls more lands than you, create a Treasure token. (It's an artifact with "{T}, Sacrifice this token: Add one mana of any color.") {2}{W}: Choose another player. That player gains control of target Treasure you control. You draw a card.
