setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
wot	Wilds of Eldraine: Enchanting Tales	2023-09-08	1	Blind Obedience	5d998c09-7d89-4265-ada4-6d80cbf56dae	covered	direct_finisher, finisher, lifegain, repeatable_finisher, stax_piece	direct_finisher, finisher, lifegain, repeatable_finisher, stax_piece	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{W}	2	W	W	Extort		verify analyzer roles	https://scryfall.com/card/wot/1/blind-obedience?utm_source=api	Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.) Artifacts and creatures your opponents control enter tapped.
wot	Wilds of Eldraine: Enchanting Tales	2023-09-08	2	Dawn of Hope	d7a38484-2acc-49a6-b32d-d54dddb14d31	covered	card_draw, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw, token_support	card_draw, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/wot/2/dawn-of-hope?utm_source=api	Whenever you gain life, you may pay {2}. If you do, draw a card. {3}{W}: Create a 1/1 white Soldier creature token with lifelink.
wot	Wilds of Eldraine: Enchanting Tales	2023-09-08	3	Grasp of Fate	1b26a54f-6c27-4940-b77e-2a66175c5eff	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/wot/3/grasp-of-fate?utm_source=api	When this enchantment enters, for each opponent, exile up to one target nonland permanent that player controls until this enchantment leaves the battlefield. (Those permanents return under their owners' control.)
wot	Wilds of Eldraine: Enchanting Tales	2023-09-08	4	Greater Auramancy	e6e888ea-9935-4df2-a344-c54637e55f43	covered	broad_protection, self_protection	broad_protection, self_protection	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/wot/4/greater-auramancy?utm_source=api	Other enchantments you control have shroud. (A permanent with shroud can't be the target of spells or abilities.) Enchanted creatures you control have shroud.
wot	Wilds of Eldraine: Enchanting Tales	2023-09-08	5	Griffin Aerie	7cab62dc-a256-4da8-a3ea-b3903ec37077	covered	token_support	token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/wot/5/griffin-aerie?utm_source=api	At the beginning of your end step, if you gained 3 or more life this turn, create a 2/2 white Griffin creature token with flying.
wot	Wilds of Eldraine: Enchanting Tales	2023-09-08	6	Intangible Virtue	d21c3c8f-d105-4ba9-bf69-e5f26f0f8ec5	covered	combat_support, token_support	combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/wot/6/intangible-virtue?utm_source=api	Creature tokens you control get +1/+1 and have vigilance.
wot	Wilds of Eldraine: Enchanting Tales	2023-09-08	7	Karmic Justice	9ea58595-fcb9-455c-9558-b6a3fb2b83c5	covered		removal, targeted_removal	false		Covered by ODY role audit.	Enchantment	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/wot/7/karmic-justice?utm_source=api	Whenever a spell or ability an opponent controls destroys a noncreature permanent you control, you may destroy target permanent that opponent controls.
wot	Wilds of Eldraine: Enchanting Tales	2023-09-08	8	Knightly Valor	9ba6cec6-97bf-4a83-9ffa-77e187d0945b	covered	combat_support, token_support	combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{4}{W}	5	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/wot/8/knightly-valor?utm_source=api	Enchant creature When this Aura enters, create a 2/2 white Knight creature token with vigilance. (Attacking doesn't cause it to tap.) Enchanted creature gets +2/+2 and has vigilance.
wot	Wilds of Eldraine: Enchanting Tales	2023-09-08	9	Land Tax	d2d9ecea-7925-420e-98b9-2f87f41f387c	covered	direct_tutor, land_acceleration, land_tutor, mana_fixing, repeatable_tutor, tutor	land_acceleration, land_tutor, mana_fixing, repeatable_tutor, tutor	false		Covered by Legends role audit.	Enchantment	{W}	1	W	W			already reviewed	https://scryfall.com/card/wot/9/land-tax?utm_source=api	At the beginning of your upkeep, if an opponent controls more lands than you, you may search your library for up to three basic land cards, reveal them, put them into your hand, then shuffle.
wot	Wilds of Eldraine: Enchanting Tales	2023-09-08	10	Leyline of Sanctity	492e0e6c-8c27-4376-938b-f8a8b6205810	covered	broad_protection, protection, self_protection	broad_protection, protection, self_protection	false		Analyzer roles accepted during batch clean pass.	Enchantment	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/wot/10/leyline-of-sanctity?utm_source=api	If this card is in your opening hand, you may begin the game with it on the battlefield. You have hexproof. (You can't be the target of spells or abilities your opponents control.)
wot	Wilds of Eldraine: Enchanting Tales	2023-09-08	11	Phyrexian Unlife	6598d988-d60e-4441-88b6-8d0995c4675a	covered	replacement_engine	replacement_engine	false		Analyzer roles accepted during batch clean pass.	Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/wot/11/phyrexian-unlife?utm_source=api	You don't lose the game for having 0 or less life. As long as you have 0 or less life, all damage is dealt to you as though its source had infect. (Damage is dealt to you in the form of poison counters.)
wot	Wilds of Eldraine: Enchanting Tales	2023-09-08	12	Rest in Peace	087f9ad7-e74f-40e2-8102-1ed2925d0418	covered		graveyard_hate, replacement_engine	false		Covered by PRM role audit.	Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/wot/12/rest-in-peace?utm_source=api	When this enchantment enters, exile all graveyards. If a card or token would be put into a graveyard from anywhere, exile it instead.
wot	Wilds of Eldraine: Enchanting Tales	2023-09-08	13	Smothering Tithe	153376c9-dffd-458c-8ce3-a4c8269bc4e9	covered		burst_ramp, mana_fixing, ramp, sacrifice_support, token_support	false		Covered by PRM role audit.	Enchantment	{3}{W}	4	W	W	Treasure		already reviewed	https://scryfall.com/card/wot/13/smothering-tithe?utm_source=api	Whenever an opponent draws a card, that player may pay {2}. If the player doesn't, you create a Treasure token. (It's an artifact with "{T}, Sacrifice this token: Add one mana of any color.")
wot	Wilds of Eldraine: Enchanting Tales	2023-09-08	14	As Foretold	e4b3e0af-5caa-47c1-b5be-c56a875cbb15	covered	cost_reduction, counter_support, ramp, scalable_spell	cost_reduction, counter_support, ramp, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Enchantment	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/wot/14/as-foretold?utm_source=api	At the beginning of your upkeep, put a time counter on this enchantment. Once each turn, you may pay {0} rather than pay the mana cost for a spell you cast with mana value X or less, where X is the number of time counters on this enchantment.
wot	Wilds of Eldraine: Enchanting Tales	2023-09-08	15	Compulsion	3fafb6b2-5cae-45b6-8550-3ff8daa02802	covered		card_draw, direct_draw, draw, repeatable_advantage, sacrifice_support, selection	false		Covered by TOR role audit.	Enchantment	{1}{U}	2	U	U			already reviewed	https://scryfall.com/card/wot/15/compulsion?utm_source=api	{1}{U}, Discard a card: Draw a card. {1}{U}, Sacrifice this enchantment: Draw a card.
wot	Wilds of Eldraine: Enchanting Tales	2023-09-08	16	Copy Enchantment	87bc0b1f-49ef-4c06-9049-2c148b467882	covered	copy_support	copy_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/wot/16/copy-enchantment?utm_source=api	You may have this enchantment enter as a copy of any enchantment on the battlefield.
wot	Wilds of Eldraine: Enchanting Tales	2023-09-08	17	Curiosity	223fa044-d387-4884-bf4e-75f1b61c6a46	covered		card_draw, direct_draw, draw, repeatable_advantage, repeatable_draw	false			Enchantment — Aura	{U}	1	U	U	Enchant		already reviewed	https://scryfall.com/card/wot/17/curiosity?utm_source=api	Enchant creature Whenever enchanted creature deals damage to an opponent, you may draw a card.
wot	Wilds of Eldraine: Enchanting Tales	2023-09-08	18	Forced Fruition	448b27a5-7c0c-4ab6-bddf-bd62b920aacc	covered	card_draw, repeatable_advantage	card_draw, repeatable_advantage	false		Analyzer roles accepted during batch clean pass.	Enchantment	{4}{U}{U}	6	U	U			verify analyzer roles	https://scryfall.com/card/wot/18/forced-fruition?utm_source=api	Whenever an opponent casts a spell, that player draws seven cards.
