setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
xana	Arena New Player Experience Extras	2018-07-14	7	Loxodon Line Breaker	57f0f55d-4cf9-4a35-96dd-05c24c2a9a4f	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Creature — Elephant Soldier	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/xana/7/loxodon-line-breaker?utm_source=api	
xana	Arena New Player Experience Extras	2018-07-14	13	Take Vengeance	c60b8edd-aa3f-48ea-b202-d10599f91d9d	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/xana/13/take-vengeance?utm_source=api	Destroy target tapped creature.
xana	Arena New Player Experience Extras	2018-07-14	14	Divination	273b339c-964b-4a18-8eb5-ceb8abcdfd9e	covered	card_draw, direct_draw, draw	card_draw, direct_draw, draw	false		Analyzer roles accepted during batch clean pass.	Sorcery	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/xana/14/divination?utm_source=api	Draw two cards.
xana	Arena New Player Experience Extras	2018-07-14	16	Overflowing Insight	ff03a063-9634-4746-a208-9dbcde5c6bdb	covered	card_draw	card_draw	false		Analyzer roles accepted during batch clean pass.	Sorcery	{4}{U}{U}{U}	7	U	U			verify analyzer roles	https://scryfall.com/card/xana/16/overflowing-insight?utm_source=api	Target player draws seven cards.
xana	Arena New Player Experience Extras	2018-07-14	22	Waterknot	002100cd-1ab1-44da-93a0-1269d47a712a	covered	removal, tempo_removal	removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{1}{U}{U}	3	U	U	Enchant		verify analyzer roles	https://scryfall.com/card/xana/22/waterknot?utm_source=api	Enchant creature When this Aura enters, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step.
xana	Arena New Player Experience Extras	2018-07-14	25	Ambition's Cost	84de4fec-2f38-4293-93d3-b3882c5aac14	covered		card_draw, direct_draw, draw	false		Covered by PTK role audit.	Sorcery	{3}{B}	4	B	B			already reviewed	https://scryfall.com/card/xana/25/ambitions-cost?utm_source=api	You draw three cards and you lose 3 life.
xana	Arena New Player Experience Extras	2018-07-14	26	Cruel Cut	39b7f3cc-e229-4cdf-9d85-db0b17203d7e	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{B}	2	B	B			verify analyzer roles	https://scryfall.com/card/xana/26/cruel-cut?utm_source=api	Destroy target creature with power 2 or less.
xana	Arena New Player Experience Extras	2018-07-14	29	Miasmic Mummy	b5b049d4-242a-48ec-85d1-1ef66c8cfa4c	covered	combat_body, hand_attack	combat_body, hand_attack	false		Analyzer roles accepted during batch clean pass.	Creature — Zombie Jackal	{1}{B}	2	B	B			verify analyzer roles	https://scryfall.com/card/xana/29/miasmic-mummy?utm_source=api	When this creature enters, each player discards a card.
xana	Arena New Player Experience Extras	2018-07-14	31	Nimble Pilferer	6de183ad-8cdf-4fa6-b17d-5ba1b480849a	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Creature — Human Rogue	{1}{B}	2	B	B	Flash		verify analyzer roles	https://scryfall.com/card/xana/31/nimble-pilferer?utm_source=api	Flash
xana	Arena New Player Experience Extras	2018-07-14	34	Rise from the Grave	4e769107-0f32-4181-9e57-ffebc2228d3a	covered		battlefield_recursion	false		Covered by PRM role audit.	Sorcery	{4}{B}	5	B	B			already reviewed	https://scryfall.com/card/xana/34/rise-from-the-grave?utm_source=api	Put target creature card from a graveyard onto the battlefield under your control. That creature is a black Zombie in addition to its other colors and types.
