setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ybro	Alchemy: The Brothers' War	2022-12-13	1	By Elspeth's Command	7186ddbc-3db1-48ce-a3bc-8cd025120db4	covered	token_support	token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ybro/1/by-elspeths-command?utm_source=api	At the beginning of combat on your turn, choose one that wasn't chosen during your last combat — • Up to one target Soldier perpetually gets +1/+1 and gains flying. • Choose a Soldier card in your hand. It perpetually gets +1/+1 and gains vigilance. • Create a 1/1 colorless Soldier artifact creature token.
ybro	Alchemy: The Brothers' War	2022-12-13	2	Norn's Disassembly	404d8766-28bc-427b-99a7-eb74c8d8bf18	covered	sacrifice_support	sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{W}	1	W	W	Seek		verify analyzer roles	https://scryfall.com/card/ybro/2/norns-disassembly?utm_source=api	{1}{W}, Sacrifice a historic permanent: Seek a historic card.
ybro	Alchemy: The Brothers' War	2022-12-13	3	Tawnos Endures	6be1555e-6af9-400c-88b0-81e2be4429df	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ybro/3/tawnos-endures?utm_source=api	Exile target creature. It gains "At the beginning of your upkeep, if this card is exiled, it perpetually gets +1/+1, then you may put it onto the battlefield."
ybro	Alchemy: The Brothers' War	2022-12-13	4	Hurkyl's Prodigy	6b40ccee-0ff3-4a19-8937-57002f5b0066	covered	combat_body, combat_support, token_support	combat_body, combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/ybro/4/hurkyls-prodigy?utm_source=api	When Hurkyl's Prodigy enters, create a tapped Powerstone token. Whenever Hurkyl's Prodigy attacks, you may pay {2}. If you do, Hurkyl's Prodigy can't be blocked this turn and it perpetually gets +2/+0.
ybro	Alchemy: The Brothers' War	2022-12-13	5	Piece It Together	bdf4c82b-b3bd-4d57-8c2c-c99f1270577a	covered	card_draw, direct_draw, draw, extra_turn, finisher	card_draw, direct_draw, draw, extra_turn, finisher	false		Analyzer roles accepted during batch clean pass.	Sorcery	{U}	1	U	U	Intensity		verify analyzer roles	https://scryfall.com/card/ybro/5/piece-it-together?utm_source=api	Starting intensity 1 Draw a card. If Piece It Together's intensity is 4, instead take an extra turn after this one. Cards you own named Piece It Together intensify by 1.
ybro	Alchemy: The Brothers' War	2022-12-13	6	Lonely End	2df9d8c4-f884-4a4d-a1e8-d8b1172344e4	covered	lifegain	lifegain	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{B}	2	B	B			verify analyzer roles	https://scryfall.com/card/ybro/6/lonely-end?utm_source=api	Choose one — • Target creature get -3/-3 until end of turn. • Remove three loyalty counters from target planeswalker. If you weren't the starting player, you gain 3 life.
ybro	Alchemy: The Brothers' War	2022-12-13	7	Penregon Besieged	2c483e01-7e07-46f3-be41-0dd987b76b5b	covered	sacrifice_support	sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{B}	2	B	B			verify analyzer roles	https://scryfall.com/card/ybro/7/penregon-besieged?utm_source=api	At the beginning of your end step, choose a creature with the least toughness among creatures your opponents control. It perpetually gets -1/-1. When your opponents control no creatures, sacrifice Penregon Besieged.
ybro	Alchemy: The Brothers' War	2022-12-13	8	Fallaji Antiquarian	665b00cb-1dac-4b6b-8d5a-7af14275df93	covered	artifact_support, combat_body, combat_threat	artifact_support, combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Human Artificer	{3}{R}	4	R	R	Haste, Conjure		verify analyzer roles	https://scryfall.com/card/ybro/8/fallaji-antiquarian?utm_source=api	Haste When Fallaji Antiquarian enters, conjure a duplicate of another target nontoken creature or artifact you control into your graveyard. The duplicate perpetually gains unearth {1}{R}.
ybro	Alchemy: The Brothers' War	2022-12-13	9	Kayla's Kindling	86795a55-0a22-435b-9d40-a468fddc1768	covered	card_selection, removal, targeted_removal	card_selection, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment	{3}{R}{R}	5	R	R			verify analyzer roles	https://scryfall.com/card/ybro/9/kaylas-kindling?utm_source=api	When Kayla's Kindling enters, it deals 2 damage to any target. At the beginning of your upkeep, draft a card from Kayla's Kindling's spellbook and exile it. Until end of turn, you may cast that card.
ybro	Alchemy: The Brothers' War	2022-12-13	10	Melt Through	10f2ecec-1b81-4e8d-a2f9-2ef69934b786	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{R}	1	R	R			verify analyzer roles	https://scryfall.com/card/ybro/10/melt-through?utm_source=api	Melt Through deals 2 damage to any target. If it's a creature, it perpetually gains "As long as this creature is on the battlefield, damage isn't removed from it during cleanup steps."
ybro	Alchemy: The Brothers' War	2022-12-13	11	Tomakul Phoenix	ee853994-e3e6-4b9c-84fd-7c5cb9a8db88	covered	card_selection, combat_body, combat_threat, repeatable_advantage, sacrifice_support, scalable_spell	card_selection, combat_body, combat_threat, repeatable_advantage, sacrifice_support, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Creature — Phoenix	{1}{R}{R}	3	R	R	Flying, Haste		verify analyzer roles	https://scryfall.com/card/ybro/11/tomakul-phoenix?utm_source=api	Flying, haste When Tomakul Phoenix dies, it perpetually gets +2/+2. At the beginning of combat on your turn, you may pay {X}{R}, where X is Tomakul Phoenix's power. If you do, return it from your graveyard to the battlefield.
ybro	Alchemy: The Brothers' War	2022-12-13	12	Argothian Uprooting	497cdd11-989c-49a3-9953-7a982470d459	covered	counter_support, mana_sink, scalable_spell	counter_support, mana_sink, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Sorcery	{X}{G}	1	G	G	Conjure		verify analyzer roles	https://scryfall.com/card/ybro/12/argothian-uprooting?utm_source=api	Put two +1/+1 counters on each of X target lands you control. They each become 0/0 Elemental creatures with reach, haste, and "When this creature leaves the battlefield, conjure a card named Forest onto the battlefield tapped." They're still lands.
ybro	Alchemy: The Brothers' War	2022-12-13	13	Foundry Groundbreaker	1a79cd7b-1d92-417d-949f-3b807772591f	covered	combat_body, sacrifice_support	combat_body, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Artificer	{3}{G}	4	G	G	Conjure		verify analyzer roles	https://scryfall.com/card/ybro/13/foundry-groundbreaker?utm_source=api	When Foundry Groundbreaker enters, sacrifice a land. Then conjure two cards named Mishra's Foundry onto the battlefield tapped.
ybro	Alchemy: The Brothers' War	2022-12-13	14	Legion of Clay	32ca8503-b36a-48ee-9628-7d882a1f7597	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{3}{G}	4	G	G			verify analyzer roles	https://scryfall.com/card/ybro/14/legion-of-clay?utm_source=api	Creatures you control have trample. Whenever one or more nontoken artifacts enter under your control, creatures you control perpetually get +1/+1.
ybro	Alchemy: The Brothers' War	2022-12-13	15	Sylvan Smite	ebcd03ea-04b2-415f-a2d1-afe442e4d014	covered	counter_support, removal, targeted_removal	counter_support, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{G}	2	G	G			verify analyzer roles	https://scryfall.com/card/ybro/15/sylvan-smite?utm_source=api	Put a +1/+1 counter on target creature you control if you weren't the starting player. Then that creature deals damage equal to its power to target creature you don't control.
ybro	Alchemy: The Brothers' War	2022-12-13	16	Argivian Welcome	eee0e016-8529-45b3-ab3d-0651ce08b6bd	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{W}{U}	2	UW	UW			verify analyzer roles	https://scryfall.com/card/ybro/16/argivian-welcome?utm_source=api	Destroy up to one target creature with power 4 or greater. Choose a nonland card in your hand. It perpetually gains flash.
ybro	Alchemy: The Brothers' War	2022-12-13	17	Assemble the Team	d95997cc-5a80-4551-ad9f-3d6d34b319c5	covered	direct_tutor, tutor	direct_tutor, tutor	false		Analyzer roles accepted during batch clean pass.	Sorcery	{B}{G}	2	BG	BG			verify analyzer roles	https://scryfall.com/card/ybro/17/assemble-the-team?utm_source=api	Search the top third of your library, rounded up, for a card. Put that card into your hand, then shuffle.
