setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ydsk	Alchemy: Duskmourn	2024-10-15	1	Ethrimik, Imagined Fiend	7c48aa73-4576-4a21-ba0f-d5253128ee7c			combat_body, combat_support, face_down_support				Legendary Creature — Illusion Beast	{1}{W}{W}	3	W	W	Manifest, Manifest dread		verify analyzer roles	https://scryfall.com/card/ydsk/1/ethrimik-imagined-fiend?utm_source=api	When Ethrimik enters, manifest dread. Other creatures you control get +1/+1. As long as you control another creature, Ethrimik can't attack or block.
ydsk	Alchemy: Duskmourn	2024-10-15	2	Improvising Aerialist	6b305f2a-c07b-482c-859d-a3215ea85543			combat_body, combat_support				Creature — Human Survivor	{1}{W}	2	W	W	Survival		verify analyzer roles	https://scryfall.com/card/ydsk/2/improvising-aerialist?utm_source=api	Survival — At the beginning of your second main phase, if Improvising Aerialist is tapped, Improvising Aerialist and the top creature card in your library without flying perpetually gain flying.
ydsk	Alchemy: Duskmourn	2024-10-15	3	Mothlight Processionist	46f646ad-1d61-4cd5-b06d-0c0f7d608a5f			combat_body				Creature — Human Cleric	{1}{W}	2	W	W	Conjure, Eerie		verify analyzer roles	https://scryfall.com/card/ydsk/3/mothlight-processionist?utm_source=api	Enchantment spells you cast have convoke. Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, conjure a card named Mothlight Processionist into your hand. Discard that card at the beginning of the next end step.
ydsk	Alchemy: Duskmourn	2024-10-15	4	Solitary Study // Endless Corridor	cf036c4c-4694-496d-8dc1-ff40a22cc757			combat_support				Enchantment — Room // Enchantment — Room	{1}{W} // {1}{W}	4	W	W	Conjure		verify analyzer roles	https://scryfall.com/card/ydsk/4/solitary-study-endless-corridor?utm_source=api	Solitary Study: Creatures you control get +1/+0. // Endless Corridor: When you unlock this door, conjure a duplicate of this card into your hand. When you do, target creature you control gains first strike until end of turn.
ydsk	Alchemy: Duskmourn	2024-10-15	5	Housemeld	903dbd51-674d-476e-b074-2954f74f435c			removal, targeted_removal				Sorcery	{2}{U}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/ydsk/5/housemeld?utm_source=api	Exile target creature. The exiled card perpetually becomes an enchantment. At the beginning of your next end step, put it onto the battlefield under your control. (It loses all other card types.)
ydsk	Alchemy: Duskmourn	2024-10-15	6	Lurker in the Deep	b3e101ee-ad39-4776-9721-0afdce2c5d5d			combat_body, combat_support, face_down_support				Enchantment Creature — Fish Illusion	{3}{U}{U}{U}	6	U	U	Impending, Seek, Manifest, Conjure		verify analyzer roles	https://scryfall.com/card/ydsk/6/lurker-in-the-deep?utm_source=api	Impending 3—{2}{U}{U} Whenever Lurker in the Deep enters or attacks, seek a nonland card. Whenever you seek one or more cards during your turn, conjure a duplicate of each of those cards into your hand, then manifest those duplicates.
ydsk	Alchemy: Duskmourn	2024-10-15	7	Fear of Ridicule	826ecbcf-ce78-46b0-9320-0db9f23ed7e8			combat_body, combat_support, copy_support, token_support				Enchantment Creature — Nightmare	{1}{B}{B}	3	B	B			verify analyzer roles	https://scryfall.com/card/ydsk/7/fear-of-ridicule?utm_source=api	Enchantment creatures you control have menace. Whenever one or more enchantment creatures you control deal combat damage to a player, exile a random creature card from that player's library. Create a token that's a copy of that card, except it's a 1/1 enchantment creature.
ydsk	Alchemy: Duskmourn	2024-10-15	8	Glimmer Hoarder	a7536283-e209-4add-a640-e52b072b2cd7			combat_body				Creature — Human Survivor	{1}{B}	2	B	B	Survival		verify analyzer roles	https://scryfall.com/card/ydsk/8/glimmer-hoarder?utm_source=api	Survival — At the beginning of your second main phase, if Glimmer Hoarder is tapped, you lose 1 life and draft a card from Glimmer Hoarder's spellbook. That card perpetually becomes an enchantment in addition to its other types.
ydsk	Alchemy: Duskmourn	2024-10-15	9	Razor Demon	5bacbb8c-80d2-4127-93fe-e4d71e27a21d			combat_body, combat_threat, self_protection				Creature — Demon	{1}{B}{B}	3	B	B	Flying, Ward		verify analyzer roles	https://scryfall.com/card/ydsk/9/razor-demon?utm_source=api	When you cast this spell, target opponent drafts a card from Razor Demon's spellbook. They may cast that card without paying its mana cost. Flying Ward—Discard a card.
ydsk	Alchemy: Duskmourn	2024-10-15	10	Replicating Terror	87922216-84c0-4d34-babc-10fed82ed2d3			removal, targeted_removal				Instant	{1}{B}	2	B	B	Conjure		verify analyzer roles	https://scryfall.com/card/ydsk/10/replicating-terror?utm_source=api	Each opponent sacrifices a nontoken creature. For each creature sacrificed this way, conjure a duplicate of it into your graveyard.
