setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
yeoe	Alchemy: Edge of Eternities	2025-08-19	1	Candela, Aegis of Adagia	2db9e07f-d149-447a-b855-ef471274b326			combat_support, cost_reduction, ramp, removal, self_bounce, tempo_removal				Legendary Artifact — Spacecraft	{W}	1	W	W	Station, Flash		verify analyzer roles	https://scryfall.com/card/yeoe/1/candela-aegis-of-adagia?utm_source=api	Flash When Candela enters, return up to one target creature you control to its owner's hand. It perpetually gets +1/+1. Station 8+ | Flying Whenever Candela deals combat damage to a player, you may put a creature card with mana value 3 or less from your hand onto the battlefield.
yeoe	Alchemy: Edge of Eternities	2025-08-19	2	Squadron Carrier	1fa82502-4933-45d2-83b9-93764ded0aae			combat_support				Artifact — Spacecraft	{2}{W}	3	W	W	Station, Conjure		verify analyzer roles	https://scryfall.com/card/yeoe/2/squadron-carrier?utm_source=api	Spacecraft you control have "Exhaust — {W}: Conjure a card named Starfighter Pilot onto the battlefield." Station 10+ | Creatures you control have flying.
yeoe	Alchemy: Edge of Eternities	2025-08-19	3	Stoic Star-Captain	b842f058-ff01-45a0-ae23-51bbb2ed2d93			combat_body, replacement_engine				Creature — Human Pilot	{1}{W}	2	W	W	Seek, Exhaust		verify analyzer roles	https://scryfall.com/card/yeoe/3/stoic-star-captain?utm_source=api	Each creature you control crews Vehicles and stations permanents as though its power were 2 greater. Exhaust — {1}{W}: Seek a Spacecraft card.
yeoe	Alchemy: Edge of Eternities	2025-08-19	4	Thought Partition	8c03643f-a0f2-4645-afc5-4c3f0f2da104							Sorcery	{W}	1	W	W			manual review	https://scryfall.com/card/yeoe/4/thought-partition?utm_source=api	Target opponent reveals all nonland cards in their hand. You may choose one of those cards. If you do, it perpetually becomes white and its mana cost perpetually becomes {5}.
yeoe	Alchemy: Edge of Eternities	2025-08-19	5	Cloudsculpt Armorer	f7ca30e2-2414-4118-b253-89312cdb49e1			combat_body, counter_support				Creature — Jellyfish Artificer	{3}{U}	4	U	U	Seek		verify analyzer roles	https://scryfall.com/card/yeoe/5/cloudsculpt-armorer?utm_source=api	When this creature enters, put a shield counter on target artifact or creature. Whenever one or more counters are removed from a permanent you control, seek a nonland card.
yeoe	Alchemy: Edge of Eternities	2025-08-19	6	Hydroponics Architect	46827b9f-611a-4fb5-a892-687e7e2c5f58			card_draw, combat_body, combat_support, combat_threat, direct_draw, draw				Creature — Insect	{U}	1	U	U	Flying		verify analyzer roles	https://scryfall.com/card/yeoe/6/hydroponics-architect?utm_source=api	Flying Whenever this creature attacks, a random land card in your library perpetually becomes a basic Island in addition to its other types and gains "When this land enters, draw a card."
yeoe	Alchemy: Edge of Eternities	2025-08-19	7	Machinist's Dismissal	2f2a6a57-6919-405b-93df-a1d4c077da0f			artifact_support, hard_stack, stack				Instant	{4}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/yeoe/7/machinists-dismissal?utm_source=api	This spell costs {1} less to cast for each artifact you control and each artifact card in your hand. Counter target noncreature spell.
yeoe	Alchemy: Edge of Eternities	2025-08-19	8	Network Marauder	3ad79bf0-f3dd-4433-b727-a3b285ea2412			artifact_support, combat_body, combat_support				Artifact Creature — Robot Pirate	{2}{U}	3	U	U	Warp		verify analyzer roles	https://scryfall.com/card/yeoe/8/network-marauder?utm_source=api	When this creature enters and whenever another artifact you control with mana value 3 or greater enters, all artifact creature cards and Spacecraft cards you own perpetually get +1/+1. Warp {1}{U}
yeoe	Alchemy: Edge of Eternities	2025-08-19	9	Cantor of the Refrain	567a71f0-2e7c-4f90-b763-d321d04a088c			battlefield_recursion, card_selection, combat_body, combat_support, repeatable_advantage				Creature — Human Pilot	{B}	1	B	B			verify analyzer roles	https://scryfall.com/card/yeoe/9/cantor-of-the-refrain?utm_source=api	This creature can't block. When you cast a spell for its warp cost, return this card from your graveyard to the battlefield under its owner's control. It perpetually gets +1/+0.
yeoe	Alchemy: Edge of Eternities	2025-08-19	10	Gravitic Herald	07d1dac8-87c8-4b9b-8851-626a638ad856			combat_body, combat_threat, lifegain				Creature — Human Soldier	{3}{B}	4	B	B	Lifelink, Seek		verify analyzer roles	https://scryfall.com/card/yeoe/10/gravitic-herald?utm_source=api	Lifelink When this creature enters, seek a nonland permanent card with mana value 3 or less. That card gains warp {0} until end of turn. You lose 2 life.
yeoe	Alchemy: Edge of Eternities	2025-08-19	11	Monoist Gravliner	53463e9d-fd32-411c-8233-db4ea29427ff			combat_support, lifegain				Artifact — Spacecraft	{1}{B}	2	B	B	Station		verify analyzer roles	https://scryfall.com/card/yeoe/11/monoist-gravliner?utm_source=api	Whenever a creature stations this Spacecraft, that creature perpetually gains deathtouch and lifelink. Station 6+ | Flying, Deathtouch, Lifelink
yeoe	Alchemy: Edge of Eternities	2025-08-19	12	Song of Point Prime	808ad690-202a-4adf-b38a-499e144f8c06			removal, targeted_removal				Sorcery	{1}{B}	2	B	B	Conjure		verify analyzer roles	https://scryfall.com/card/yeoe/12/song-of-point-prime?utm_source=api	Each opponent sacrifices a creature of their choice. Conjure a card named Cantor of the Refrain into your graveyard.
yeoe	Alchemy: Edge of Eternities	2025-08-19	13	Voidcalled Devotee	95608c78-caa5-46e5-90a9-86fb2e14522b			combat_body, combat_support, combat_threat				Creature — Human Soldier	{1}{B}{B}	3	B	B	Haste, Warp, Conjure		verify analyzer roles	https://scryfall.com/card/yeoe/13/voidcalled-devotee?utm_source=api	Haste Whenever this creature attacks, conjure a card named Cantor of the Refrain into your graveyard. Warp {1}{B}
yeoe	Alchemy: Edge of Eternities	2025-08-19	14	Cosmic Sovereign	eb3fe794-b763-4121-b165-25e33f316ec6			combat_body, combat_support, combat_threat, scalable_spell				Creature — Dragon	{3}{R}{R}	5	R	R	Flying, Haste, Conjure		verify analyzer roles	https://scryfall.com/card/yeoe/14/cosmic-sovereign?utm_source=api	Flying, Haste {R}: This creature gets +1/+0 until end of turn. At the beginning of combat on your turn, conjure a random creature card with mana value X onto the battlefield, where X is this creature's power. That creature gains haste. Exile it at the beginning of the next end step.
yeoe	Alchemy: Edge of Eternities	2025-08-19	15	Kavaron Consumed	00078ea3-0462-4a6e-b7b1-25fea012b2b7			combat_support, cost_reduction, ramp, sacrifice_support				Sorcery	{3}{R}{R}	5	R	R			verify analyzer roles	https://scryfall.com/card/yeoe/15/kavaron-consumed?utm_source=api	You may put an artifact or creature card from your hand onto the battlefield. It perpetually becomes an artifact creature with base power and toughness 4/4 and gains haste. Sacrifice it at the beginning of the next end step.
yeoe	Alchemy: Edge of Eternities	2025-08-19	16	Mine Security	000492bf-7eaa-4939-a51c-4eef74e4c1d1			combat_body, combat_threat				Creature — Kavu Soldier	{1}{R}	2	R	R	Trample, Conjure		verify analyzer roles	https://scryfall.com/card/yeoe/16/mine-security?utm_source=api	Trample When this creature enters, conjure a card named Flametongue Kavu into the top eight cards of your library at random. It perpetually gains "You may pay {0} rather than pay this spell's mana cost."
yeoe	Alchemy: Edge of Eternities	2025-08-19	17	Thendar, the Overminer	3a928b39-413b-4b4c-9a05-c421b185e5b5			combat_body, combat_threat				Legendary Creature — Kavu Pirate	{2}{R}{R}	4	R	R	Menace, Conjure		verify analyzer roles	https://scryfall.com/card/yeoe/17/thendar-the-overminer?utm_source=api	Menace Whenever a nonbasic land is put into a graveyard from the battlefield, its controller conjures a card named Wastes onto the battlefield tapped. At the beginning of your end step, if you control two or more tapped creatures, destroy up to one target nonbasic land.
yeoe	Alchemy: Edge of Eternities	2025-08-19	18	Brood Astronomer	7a56bdd4-f70e-4abf-9cb7-1624be3288ce			combat_body, counter_support, mana_fixing, ramp, sacrifice_support, stable_ramp				Creature — Insect Scientist	{1}{G}	2	G	G			verify analyzer roles	https://scryfall.com/card/yeoe/18/brood-astronomer?utm_source=api	When this creature enters, you may sacrifice a land. If you do, draft a card from the Planets Spellbook and put it onto the battlefield tapped. {T}: Add one mana of any color. If you control a Planet with twelve or more charge counters on it, add three mana of any one color instead.
yeoe	Alchemy: Edge of Eternities	2025-08-19	19	Eumidian Lifeseed	8b1a28aa-cb07-4fe0-976b-c8d267c1c56d			mana_fixing, ramp, stable_ramp				Artifact	{G}	1	G	G			verify analyzer roles	https://scryfall.com/card/yeoe/19/eumidian-lifeseed?utm_source=api	When this artifact enters, draft a card from Eumidian Lifeseed's spellbook. {T}: Add one mana of any color. Spend this mana only to activate abilities of land sources.
yeoe	Alchemy: Edge of Eternities	2025-08-19	20	Mutable Pupa	508be2d9-c896-4cbf-b574-2896769d7987			combat_body, combat_support, lifegain, self_protection				Creature — Insect	{G}	1	G	G	Evolve		verify analyzer roles	https://scryfall.com/card/yeoe/20/mutable-pupa?utm_source=api	Evolve Whenever another creature you control enters, this creature perpetually gains flying if that creature has flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, reach, trample, and vigilance.
yeoe	Alchemy: Edge of Eternities	2025-08-19	21	Worldweave	c8e634a3-b250-480e-9136-f630444a63ce							Enchantment	{2}{G}	3	G	G	Seek		has Scryfall tags/keywords but no analyzer role	https://scryfall.com/card/yeoe/21/worldweave?utm_source=api	Whenever you cast a creature spell, seek a land card and put it onto the battlefield tapped.
yeoe	Alchemy: Edge of Eternities	2025-08-19	22	Ambassador of Evendo	061e7077-115b-4a37-b574-8fd4757d4bce			card_draw, combat_body, direct_draw, draw, repeatable_advantage, repeatable_draw				Creature — Insect Advisor	{G}{U}	2	GU	GU	Landfall		verify analyzer roles	https://scryfall.com/card/yeoe/22/ambassador-of-evendo?utm_source=api	Landfall — Whenever a land you control enters, a random land card in your library perpetually gains "Whenever this land becomes tapped, draw a card."
yeoe	Alchemy: Edge of Eternities	2025-08-19	23	Axavar, Fate Thief	161c6317-f4b6-45a2-98ac-6340a374eac5			combat_body				Legendary Creature — Drix Pirate	{2}{B}{R}	4	BR	BR	Warp, Void, Heist		verify analyzer roles	https://scryfall.com/card/yeoe/23/axavar-fate-thief?utm_source=api	Void — At the beginning of your end step, if a nonland permanent left the battlefield this turn or a spell was warped this turn, discard a card, then heist target opponent's library. Warp {B/R}
yeoe	Alchemy: Edge of Eternities	2025-08-19	24	Prototype X-8	ef04a87f-29bd-4511-948f-e30bbf0d06fe			combat_body, sacrifice_support				Legendary Artifact Creature — Robot Octopus	{8}{U}{B}	10	BU	BU	Conjure		verify analyzer roles	https://scryfall.com/card/yeoe/24/prototype-x-8?utm_source=api	This spell costs {2} less to cast for each creature card in your graveyard. Whenever another creature you control enters, if you cast it, sacrifice it. Conjure a duplicate of it onto the battlefield. The duplicate perpetually becomes a Robot artifact in addition to its other types.
yeoe	Alchemy: Edge of Eternities	2025-08-19	25	Sliver Weftwinder	2313b5f6-c6e0-4a99-acf6-62b227449bfc			card_draw, combat_body, direct_draw, draw				Legendary Creature — Sliver	{W}{U}{B}{R}{G}	5	BGRUW	BGRUW	Warp, Conjure		verify analyzer roles	https://scryfall.com/card/yeoe/25/sliver-weftwinder?utm_source=api	Sliver cards in your hand have warp {3}. Sliver creatures you control have "When this creature enters, conjure a random card from the Slivers Spellbook into the top five cards of your library at random, then draw a card." Warp {3}
