setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ymid	Alchemy: Innistrad	2021-12-09	1	Angel of Eternal Dawn	9fb2f004-96a4-49ba-9f62-ba60fa27c895			combat_body, combat_threat, hate_piece, soft_stack, stack, stax_piece				Creature — Angel	{2}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ymid/1/angel-of-eternal-dawn?utm_source=api	Flying When this creature enters, it becomes day. It can't become night. Your opponents can't cast spells with mana value greater than the number of turns they have begun.
ymid	Alchemy: Innistrad	2021-12-09	2	Angel of Unity	b7416785-651a-403b-ae64-8bc7251b5d3a			combat_body, combat_threat, lifegain				Creature — Angel Cleric	{1}{W}	2	W	W	Flying, Lifelink		verify analyzer roles	https://scryfall.com/card/ymid/2/angel-of-unity?utm_source=api	Flying, lifelink Whenever this creature enters and whenever you cast a party spell, choose a party creature card in your hand. It perpetually gets +1/+1. (A party card or spell is a Cleric, Rogue, Warrior, or Wizard.)
ymid	Alchemy: Innistrad	2021-12-09	3	Captain Eberhart	89c85ad7-896d-44e6-a274-749a0be33ea7			combat_body, combat_threat, cost_reduction				Legendary Creature — Human Soldier	{1}{W}	2	W	W	Double strike		verify analyzer roles	https://scryfall.com/card/ymid/3/captain-eberhart?utm_source=api	Double strike Spells cast from among cards you drew this turn cost {1} less to cast. Spells cast from among cards your opponents drew this turn cost {1} more to cast.
ymid	Alchemy: Innistrad	2021-12-09	4	Divine Purge	4d84c88d-684b-4fe9-96fb-d5398516b667			mass_removal, removal				Sorcery	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ymid/4/divine-purge?utm_source=api	Exile all artifacts and creatures with mana value 3 or less. They perpetually gain "This spell costs {2} more to cast" and "This permanent enters the battlefield tapped." For as long as each of them remain exiled, its owner may play it.
ymid	Alchemy: Innistrad	2021-12-09	5	Ethereal Escort	6d17016c-9d66-49c9-aa00-915cd61fd530			combat_body, combat_support, combat_threat, lifegain				Creature — Spirit	{2}{W}	3	W	W	Lifelink		verify analyzer roles	https://scryfall.com/card/ymid/5/ethereal-escort?utm_source=api	Lifelink Whenever this creature enters or attacks, choose a card in your hand. It perpetually gains lifelink.
ymid	Alchemy: Innistrad	2021-12-09	6	Expedition Supplier	68e97db4-42ff-4972-9286-0ecc28d9e9de			combat_body				Creature — Human Warrior	{2}{W}	3	W	W	Conjure		verify analyzer roles	https://scryfall.com/card/ymid/6/expedition-supplier?utm_source=api	Whenever one or more Humans and/or Warriors you control enter, conjure a card named Utility Knife onto the battlefield. This ability triggers only once each turn.
ymid	Alchemy: Innistrad	2021-12-09	7	Faithful Disciple	e5391540-78e3-4ca8-a207-37c606722065			combat_body, combat_threat, sacrifice_support				Creature — Human Cleric	{1}{W}	2	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/ymid/7/faithful-disciple?utm_source=api	Vigilance When Faithful Disciple dies, draft a card from Faithful Disciple's spellbook.
ymid	Alchemy: Innistrad	2021-12-09	8	Inquisitor Captain	203fcca2-943c-4ea1-a5e0-88b42c24ae6d			combat_body, combat_threat				Creature — Human Cleric	{3}{W}	4	W	W	Seek, Vigilance		verify analyzer roles	https://scryfall.com/card/ymid/8/inquisitor-captain?utm_source=api	Vigilance When this creature enters, if you cast it and there are twenty or more creature cards with mana value 3 or less among cards in your graveyard, hand, and library, seek two creature cards with mana value 3 or less. Put one of them onto the battlefield and shuffle the other into your library.
ymid	Alchemy: Innistrad	2021-12-09	9	Sigardian Evangel	a5550795-8cd3-4f29-a9df-02c48b124dbc			combat_body, removal, tempo_removal				Creature — Human Cleric	{1}{W}	2	W	W	Conjure		verify analyzer roles	https://scryfall.com/card/ymid/9/sigardian-evangel?utm_source=api	When Sigardian Evangel enters the battlefield, conjure a card named Sigardian Evangel into your hand. Discard that card at the beginning of the next end step. When Sigardian Evangel enters the battlefield, tap target permanent you don't control.
ymid	Alchemy: Innistrad	2021-12-09	10	Slayer's Bounty	8936390b-fd33-4ef0-a044-fd1bbcce82c7			card_draw, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support				Legendary Artifact — Clue	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ymid/10/slayers-bounty?utm_source=api	When Slayer's Bounty enters the battlefield, look at the creature cards in target opponent's hand. Whenever you sacrifice Slayer's Bounty or another Clue, draft a card from Slayer's Bounty's spellbook. {2}, Sacrifice Slayer's Bounty: Draw a card.
