setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ymkm	Alchemy: Murders at Karlov Manor	2024-03-05	1	Scrutiny of the Guildpact	522ece61-0cdd-47d8-ba74-2e5e31888f62	covered	combat_support, token_support	combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{W}	2	W	W	Incorporate		verify analyzer roles	https://scryfall.com/card/ymkm/1/scrutiny-of-the-guildpact?utm_source=api	When Scrutiny of the Guildpact enters, you may choose a creature card in your hand. If you do, that card perpetually incorporates {W} and gains "When you cast this spell, create a 2/2 white and blue Detective creature token." Multicolored creatures you control get +1/+1.
ymkm	Alchemy: Murders at Karlov Manor	2024-03-05	2	Sleuth Instructor	f1405552-b39c-4460-9563-b9f14ee483e0	covered	combat_body, face_down_support	combat_body, face_down_support	false		Analyzer roles accepted during batch clean pass.	Creature — Elephant Detective	{1}{W}	2	W	W	Seek, Cloak, Disguise		verify analyzer roles	https://scryfall.com/card/ymkm/2/sleuth-instructor?utm_source=api	Disguise {1}{W} Whenever Sleuth Instructor or another permanent you control is turned face up, seek a non-Elephant creature card with mana value 3 or less and cloak it. This ability triggers only once.
ymkm	Alchemy: Murders at Karlov Manor	2024-03-05	3	Spotlight Falcon	da42a37f-a930-4139-8dc2-2516308b1cad	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Bird	{2}{W}{W}	4	W	W	Flying, Collect evidence, Conjure		verify analyzer roles	https://scryfall.com/card/ymkm/3/spotlight-falcon?utm_source=api	As an additional cost to cast this spell, you may collect evidence 5. Flying When Spotlight Falcon enters, if evidence was collected, conjure a card named Spotlight Falcon into your hand.
ymkm	Alchemy: Murders at Karlov Manor	2024-03-05	4	Case of the Lost Witness	2215d2f4-0b85-43f3-a0b1-19f89adea3ca	covered	card_draw, card_selection, direct_draw, draw, repeatable_advantage, selection	card_draw, card_selection, direct_draw, draw, repeatable_advantage, selection	false		Analyzer roles accepted during batch clean pass.	Enchantment — Case	{1}{U}	2	U	U	Solved, Conjure		verify analyzer roles	https://scryfall.com/card/ymkm/4/case-of-the-lost-witness?utm_source=api	When this Case enters, conjure four cards named Fblthp, the Lost into your library, then shuffle. Draw a card. To solve — You control a legendary Homunculus. Solved — You may look at the top card of your library any time and you may play lands and cast spells from the top of your library.
ymkm	Alchemy: Murders at Karlov Manor	2024-03-05	5	Emporium Thopterist	a178d2de-3f1b-4e98-b657-003dff6a9171	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Creature — Vedalken Artificer	{1}{U}	2	U	U	Conjure		verify analyzer roles	https://scryfall.com/card/ymkm/5/emporium-thopterist?utm_source=api	Thopters you control get +2/+0. At the beginning of your upkeep, conjure a card named Ornithopter into your hand.
ymkm	Alchemy: Murders at Karlov Manor	2024-03-05	6	Excogitator Sphinx	6632d9d2-10fb-48af-a58f-4e724b6fd0c3	covered	card_draw, combat_body, combat_support, combat_threat, draw, repeatable_advantage, repeatable_draw, sacrifice_support, selection	card_draw, combat_body, combat_support, combat_threat, draw, repeatable_advantage, repeatable_draw, sacrifice_support, selection	false		Analyzer roles accepted during batch clean pass.	Creature — Sphinx Detective	{2}{U}{U}	4	U	U	Flying, Investigate, Seek		verify analyzer roles	https://scryfall.com/card/ymkm/6/excogitator-sphinx?utm_source=api	Flying Whenever one or more creatures you control deal combat damage to a player, investigate. {1}, Sacrifice a Clue: Seek an instant or sorcery card.
ymkm	Alchemy: Murders at Karlov Manor	2024-03-05	7	Mapping the Maze	75d9c775-bf04-4690-923c-c99a3fbbca32	covered	card_draw, card_selection, direct_draw, draw, hand_recursion, recursion	card_draw, card_selection, direct_draw, draw, hand_recursion, recursion	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{U}	2	U	U	Incorporate		verify analyzer roles	https://scryfall.com/card/ymkm/7/mapping-the-maze?utm_source=api	Choose an instant or sorcery card in your hand or graveyard. That card perpetually incorporates {U} and gains "When you cast this spell, draw a card." Then return a multicolored instant or sorcery card from your graveyard to your hand.
ymkm	Alchemy: Murders at Karlov Manor	2024-03-05	8	Ominous Lockbox	f9247a6e-2e2d-4125-986b-e03714601e1c	covered	card_draw, copy_support, direct_draw, draw, repeatable_advantage, sacrifice_support	card_draw, copy_support, direct_draw, draw, repeatable_advantage, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Artifact — Clue	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/ymkm/8/ominous-lockbox?utm_source=api	As Ominous Lockbox enters, secretly choose a number between 1 and 20. When an opponent casts a spell with mana value equal to the chosen number, sacrifice Ominous Lockbox. If you do, copy that spell, and you may choose new targets for the copy. {2}, Sacrifice Ominous Lockbox: Draw a card.
ymkm	Alchemy: Murders at Karlov Manor	2024-03-05	9	Cackling Observer	1532315b-dc7d-4fc5-ae86-e96ff6a02d5f	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Imp	{1}{B}{B}	3	B	B	Flying, Seek		verify analyzer roles	https://scryfall.com/card/ymkm/9/cackling-observer?utm_source=api	Flying When Cackling Observer enters, target opponent reveals each nonland card in their hand. You choose one of those cards and exile it. When Cackling Observer leaves the battlefield, the exiled card's owner seeks a nonland card with lesser mana value than the exiled card.
ymkm	Alchemy: Murders at Karlov Manor	2024-03-05	10	Lurking Spinecrawler	77673184-b102-4119-bace-18b4676c9057	covered	combat_body, direct_finisher, finisher, lifegain, removal, repeatable_finisher, targeted_removal	combat_body, direct_finisher, finisher, lifegain, removal, repeatable_finisher, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Horror	{3}{B}	4	B	B	Incorporate		verify analyzer roles	https://scryfall.com/card/ymkm/10/lurking-spinecrawler?utm_source=api	When Lurking Spinecrawler enters, you may choose a nonland card in your hand. If you do, that card perpetually incorporates {1}{B} and gains "When you cast this spell, each opponent sacrifices a creature. Each opponent who can't discards a card." Whenever you cast a multicolored spell, for each of that spell's colors, each opponent loses 1 life and you gain 1 life.
