setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
yotj	Alchemy: Outlaws of Thunder Junction	2024-05-07	1	Prairie Survivalist	e5991685-3bf0-48d4-9f11-8a21f2914c4f			combat_body, combat_support, combat_threat				Creature — Human Scout	{1}{W}	2	W	W	Flying		verify analyzer roles	https://scryfall.com/card/yotj/1/prairie-survivalist?utm_source=api	Flying At the beginning of combat on your turn, target creature you control perpetually gets +1/+0. Then choose a creature card in your hand. It perpetually gets +1/+0.
yotj	Alchemy: Outlaws of Thunder Junction	2024-05-07	2	Resolute Rejection	3c1083c2-180a-4e26-96ba-24b3da2770ea			card_selection, selection				Instant	{1}{W}	2	W	W	Cycling		verify analyzer roles	https://scryfall.com/card/yotj/2/resolute-rejection?utm_source=api	Target tapped creature perpetually loses all abilities, then Resolute Rejection deals 4 damage to it. Cycling {2}
yotj	Alchemy: Outlaws of Thunder Junction	2024-05-07	3	Ruby Collector	ca927d6b-77f7-49fa-a686-12fa981a8bd4			combat_body, combat_support				Creature — Human Detective	{W}	1	W	RW	Conjure		verify analyzer roles	https://scryfall.com/card/yotj/3/ruby-collector?utm_source=api	When you attack with three or more creatures, conjure a card named Mox Ruby into your hand. This ability triggers only once. {1}{R}: Creatures you control get +1/+0 until end of turn.
yotj	Alchemy: Outlaws of Thunder Junction	2024-05-07	4	Saint Elenda	8aad5f6d-45f8-4e03-adab-6b8edbfafd95			card_selection, combat_body, combat_support, combat_threat, lifegain, repeatable_advantage, repeatable_draw, scalable_spell, selection, token_support				Legendary Creature — Vampire Cleric	{4}{W}{W}{W}	7	W	W	Lifelink, Conjure		verify analyzer roles	https://scryfall.com/card/yotj/4/saint-elenda?utm_source=api	Lifelink When Saint Elenda enters, conjure a card of your choice from Saint Elenda's spellbook into your hand. You may cast that card this turn without paying its mana cost. At the beginning of your end step, if you gained life this turn, create an X/X white Avatar creature token, where X is the amount of life you gained this turn.
yotj	Alchemy: Outlaws of Thunder Junction	2024-05-07	5	Stalwart Realmwarden	4dd704bc-861a-420f-8016-c73e9bbcbb04			combat_body, combat_threat, lifegain				Creature — Human Soldier	{1}{W}{W}	3	W	W	Lifelink, First strike		verify analyzer roles	https://scryfall.com/card/yotj/5/stalwart-realmwarden?utm_source=api	First strike, Lifelink When Stalwart Realmwarden enters, the next noncreature spell target opponent casts costs {2} more to cast.
yotj	Alchemy: Outlaws of Thunder Junction	2024-05-07	6	Emerald Collector	d12534c8-6be7-41b0-852b-4461e7f962a1			card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw				Creature — Human Pirate	{1}{U}	2	U	GU	Conjure		verify analyzer roles	https://scryfall.com/card/yotj/6/emerald-collector?utm_source=api	Whenever Emerald Collector deals combat damage to a player, draw a card. When you draw your third card in a turn, conjure a card named Mox Emerald into your hand. This ability triggers only once. {2}{G}: Emerald Collector has base power and toughness 4/4 until end of turn.
yotj	Alchemy: Outlaws of Thunder Junction	2024-05-07	7	Solitary Defiance	606f3a9f-148a-4cd5-b364-376857d4e195			combat_support, self_protection				Enchantment	{2}{U}	3	U	U	Seek		verify analyzer roles	https://scryfall.com/card/yotj/7/solitary-defiance?utm_source=api	As long as you control exactly one creature, that creature has vigilance and ward {2}. Whenever a creature you control attacks alone, seek two nonland cards, then discard a card.
yotj	Alchemy: Outlaws of Thunder Junction	2024-05-07	8	Thieving Aven	6676e0c5-ae42-47ae-8cb7-78c30db9fbcb			combat_body, combat_support, combat_threat, counter_support				Creature — Bird Rogue	{2}{U}	3	U	U	Flying, Heist		verify analyzer roles	https://scryfall.com/card/yotj/8/thieving-aven?utm_source=api	Flying Whenever Thieving Aven deals combat damage to a player, heist target opponent's library. Whenever you cast a spell you don't own, put a +1/+1 counter on Thieving Aven.
yotj	Alchemy: Outlaws of Thunder Junction	2024-05-07	9	Grave Expectations	8f39065f-0b29-43ec-94bd-73027ce7f0cb			graveyard_hate, lifegain				Instant	{B}	1	B	B	Heist		verify analyzer roles	https://scryfall.com/card/yotj/9/grave-expectations?utm_source=api	Choose one — • Heist target opponent's library. • Exile up to three target cards from your opponents' graveyards. You gain 3 life.
yotj	Alchemy: Outlaws of Thunder Junction	2024-05-07	10	Pearl Collector	a5ce937f-425f-4c24-a9d3-1bf8a244632b			combat_body, combat_support, combat_threat, lifegain				Creature — Human Warlock	{2}{B}	3	B	BW	Lifelink, Conjure, Deathtouch		verify analyzer roles	https://scryfall.com/card/yotj/10/pearl-collector?utm_source=api	Deathtouch, Lifelink At the beginning of your second main phase, if you gained 4 or more life this turn, conjure a card named Mox Pearl into your hand. This ability triggers only once. {2}{W}: Another target creature perpetually gains lifelink.
