setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ytdm	Alchemy: Tarkir	2025-04-29	1	Lam, Storm Crane Elder	82772f84-95f3-4084-abb8-935242d42a95			combat_body				Legendary Creature — Human Monk	{2}{W}{W}	4	W	W	Prowess, Conjure		verify analyzer roles	https://scryfall.com/card/ytdm/1/lam-storm-crane-elder?utm_source=api	Prowess Whenever you cast a noncreature spell, conjure a card named Monastery Mentor onto the battlefield.
ytdm	Alchemy: Tarkir	2025-04-29	2	Thunderbond Vanguard	5728bbea-74ae-4f55-9d59-43ce8d11c895			combat_body, combat_support, copy_support				Creature — Human Warrior	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ytdm/2/thunderbond-vanguard?utm_source=api	Thunderbond Vanguard's power and toughness are each equal to the number of creatures you control. Each creature token you control enters as a copy of this creature.
ytdm	Alchemy: Tarkir	2025-04-29	3	Waystone's Guidance	d2b9d1a7-0a41-4635-86dd-5ceb1522ce54			combat_support, token_support				Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ytdm/3/waystones-guidance?utm_source=api	Attacking tokens you control get +1/+0. Whenever you cast your first creature spell each turn, that spell gains mobilize 1.
ytdm	Alchemy: Tarkir	2025-04-29	4	Cunning Azurescale // Divining Dive	fce450a6-1a17-4315-9b2a-d9e7abf65aa6			combat_body, combat_threat				Creature — Dragon // Instant — Omen	{5}{U} // {1}{U}	6	U	U	Flying, Seek, Flash		verify analyzer roles	https://scryfall.com/card/ytdm/4/cunning-azurescale-divining-dive?utm_source=api	Cunning Azurescale: Flash Flying When this creature enters, secretly choose land or nonland. Seek two cards of the chosen kind. // Divining Dive: Secretly choose land or nonland. Seek a card of the chosen kind.
ytdm	Alchemy: Tarkir	2025-04-29	5	Pearl Lake Warden // Nesting Instinct	d0d231f1-03b1-4896-9cee-2aa77e6f8a1e			combat_body, combat_threat				Creature — Dragon // Sorcery — Omen	{3}{U} // {2}{G}	4	U	GU	Flying, Seek		verify analyzer roles	https://scryfall.com/card/ytdm/5/pearl-lake-warden-nesting-instinct?utm_source=api	Pearl Lake Warden: As long as this card is the top card of your library, you may look at it any time and you may cast it. Flying // Nesting Instinct: Seek a land card and put it onto the battlefield.
ytdm	Alchemy: Tarkir	2025-04-29	6	Ureni's Counsel	91617de2-4aab-4efc-94a1-053dfaac3ae5							Sorcery	{6}{U}	7	U	RU	Seek, Harmonize		has Scryfall tags/keywords but no analyzer role	https://scryfall.com/card/ytdm/6/urenis-counsel?utm_source=api	This spell costs {1} less to cast for each Dragon card in your library. Seek a Dragon card. Harmonize {8}{R}{R}
ytdm	Alchemy: Tarkir	2025-04-29	7	Draconic Fealty	98604673-62a5-40e7-bbb6-c8ede6e8add5			hand_attack, removal				Sorcery	{B}	1	B	B	Behold		verify analyzer roles	https://scryfall.com/card/ytdm/7/draconic-fealty?utm_source=api	As an additional cost to cast this spell, you may behold a Dragon. Target player discards a card with the greatest mana value among cards in their hand. If a Dragon was beheld, exile that player's graveyard.
ytdm	Alchemy: Tarkir	2025-04-29	8	Runeblade Raiser	86f730e9-8fcd-46cc-a93a-e7aa81ea0256			combat_body, sacrifice_support				Creature — Human Warrior	{B}	1	B	B			verify analyzer roles	https://scryfall.com/card/ytdm/8/runeblade-raiser?utm_source=api	This creature enters tapped. When this creature dies, return it to the battlefield under its owner's control. It perpetually loses this ability.
ytdm	Alchemy: Tarkir	2025-04-29	9	Sibsig's Artisan	8fd27f65-fe92-481e-be22-39e67c01ec9b			combat_body, counter_support				Creature — Human Artificer	{1}{B}	2	B	B	Renew		verify analyzer roles	https://scryfall.com/card/ytdm/9/sibsigs-artisan?utm_source=api	Renew — {1}{B}{B}, Exile this card from your graveyard: Put three +1/+1 counters on target creature you control. It perpetually gains this ability. Activate only as a sorcery.
ytdm	Alchemy: Tarkir	2025-04-29	10	Dragonblood Twins	6eefc7fe-3f9d-45d6-8538-cf2ac1cb7094			combat_body, combat_support, multiplier_support, replacement_engine				Creature — Human Monk	{1}{R}	2	R	R	Flurry, Double team		verify analyzer roles	https://scryfall.com/card/ytdm/10/dragonblood-twins?utm_source=api	Double team Flurry — Whenever you cast your second spell each turn, until end of turn, this creature has base power and toughness 4/4 and gains flying.
ytdm	Alchemy: Tarkir	2025-04-29	11	Dragonsoul Prodigy	78b2b8ef-912f-433b-9330-b65f11d9b009			combat_body				Creature — Human Monk	{2}{R}	3	R	R	Conjure		verify analyzer roles	https://scryfall.com/card/ytdm/11/dragonsoul-prodigy?utm_source=api	Whenever you cast your first Omen spell each turn, conjure a duplicate of that card onto the battlefield. It gains haste. At the beginning of the next end step, shuffle it into its owner's library.
ytdm	Alchemy: Tarkir	2025-04-29	12	Dragon Typhoon	db79b170-743d-4c86-87bb-e1e7e90b63fa			token_support				Kindred Enchantment — Dragon	{4}{R}{R}	6	R	R	Channel		verify analyzer roles	https://scryfall.com/card/ytdm/12/dragon-typhoon?utm_source=api	Whenever you cast a Dragon or noncreature spell, draft a card from Dragon Typhoon's spellbook and put it onto the battlefield. Channel — {2}{R}{R}, Discard this card: Create a 4/4 red Dragon creature token with flying.
ytdm	Alchemy: Tarkir	2025-04-29	13	Stormforged Armor	d026f5f1-8b75-4818-a30a-0ecccdc3f55a			artifact_support, combat_support				Legendary Artifact — Equipment	{1}{R}{R}	3	R	R	Equip, Conjure		verify analyzer roles	https://scryfall.com/card/ytdm/13/stormforged-armor?utm_source=api	Equipped creature has "Whenever this creature attacks, conjure a card named Ball Lightning onto the battlefield tapped and attacking." Equip—Pay 3 life.
ytdm	Alchemy: Tarkir	2025-04-29	14	Swiftspear's Teachings	c3f27547-d1bf-4fdd-bafa-66abab071d92			card_draw, combat_support, direct_draw, draw				Sorcery	{R}	1	R	R			verify analyzer roles	https://scryfall.com/card/ytdm/14/swiftspears-teachings?utm_source=api	You get a one-time boon with "When you cast a creature spell, it gains your choice of prowess or haste." Draw a card.
ytdm	Alchemy: Tarkir	2025-04-29	15	Amber-Plate Ainok	2579d430-e22c-4cb2-b7a6-113e8f2e4519			combat_body				Creature — Dog Mercenary	{1}{G}	2	G	G	Double team, Endure		verify analyzer roles	https://scryfall.com/card/ytdm/15/amber-plate-ainok?utm_source=api	Double team At the beginning of your second main phase, if this creature is tapped, it endures 1.
ytdm	Alchemy: Tarkir	2025-04-29	16	Hardened Bonds	01eeb404-4fee-44d8-a00a-a6c34313bddf							Enchantment	{G}	1	G	G	Seek		has Scryfall tags/keywords but no analyzer role	https://scryfall.com/card/ytdm/16/hardened-bonds?utm_source=api	Whenever a +1/+1 counter is put on a creature you control, seek a creature card. That card perpetually gets +1/+1. This ability triggers only once each turn.
ytdm	Alchemy: Tarkir	2025-04-29	17	Pampered Loamfrill	8a8c2b0b-3172-48d6-be6f-69410a552139			combat_body, combat_threat, removal, targeted_removal				Creature — Lizard	{G}	1	G	G	Renew, Conjure, Deathtouch		verify analyzer roles	https://scryfall.com/card/ytdm/17/pampered-loamfrill?utm_source=api	Deathtouch Renew — {1}{G}, Exile this card from your graveyard: Conjure a duplicate of another target creature card in your graveyard onto the top of your library. The duplicate perpetually gets +1/+1 and gains deathtouch. Activate only as a sorcery.
