setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
znc	Zendikar Rising Commander	2020-09-25	1	Anowon, the Ruin Thief	e7e69583-8326-417e-8a9a-6b917c8ba4b6	covered		card_draw, combat_body, combat_support, direct_draw, draw, mill_support, repeatable_draw	false		Covered by PRM role audit.	Legendary Creature — Vampire Rogue	{2}{U}{B}	4	BU	BU	Mill		already reviewed	https://scryfall.com/card/znc/1/anowon-the-ruin-thief?utm_source=api	Other Rogues you control get +1/+1. Whenever one or more Rogues you control deal combat damage to a player, that player mills a card for each 1 damage dealt to them. If the player mills at least one creature card this way, you draw a card. (To mill a card, a player puts the top card of their library into their graveyard.)
znc	Zendikar Rising Commander	2020-09-25	2	Obuun, Mul Daya Ancestor	28fcf855-6372-4d6b-b3fd-76f85247f309	covered		combat_body, counter_support, scalable_spell	false		Covered by PRM role audit.	Legendary Creature — Elf Spirit	{1}{R}{G}{W}	4	GRW	GRW	Landfall		already reviewed	https://scryfall.com/card/znc/2/obuun-mul-daya-ancestor?utm_source=api	At the beginning of combat on your turn, up to one target land you control becomes an X/X Elemental creature with trample and haste until end of turn, where X is Obuun's power. It's still a land. Landfall — Whenever a land you control enters, put a +1/+1 counter on target creature.
znc	Zendikar Rising Commander	2020-09-25	3	Trove Warden	9056eba4-612b-4e82-8689-fe098241b007			combat_body, combat_threat, removal, sacrifice_support, targeted_removal				Creature — Cat Beast	{2}{W}{W}	4	W	W	Vigilance, Landfall		verify analyzer roles	https://scryfall.com/card/znc/3/trove-warden?utm_source=api	Vigilance Landfall — Whenever a land you control enters, exile target permanent card with mana value 3 or less from your graveyard. When this creature dies, put each permanent card exiled with it onto the battlefield under the control of that card's owner.
znc	Zendikar Rising Commander	2020-09-25	4	Enigma Thief	d39a1e12-bb6b-4e7a-96a4-5dab98084716			combat_body, combat_support, combat_threat, removal, tempo_removal				Creature — Sphinx Rogue	{5}{U}{U}	7	U	U	Flying, Prowl		verify analyzer roles	https://scryfall.com/card/znc/4/enigma-thief?utm_source=api	Prowl {3}{U} (You may cast this spell for its prowl cost if you dealt combat damage to a player this turn with a Sphinx or Rogue.) Flying When this creature enters, for each opponent, return up to one target nonland permanent that player controls to its owner's hand.
znc	Zendikar Rising Commander	2020-09-25	5	Whispersteel Dagger	ca59fbf4-c774-49d3-8630-108c053e01fb			artifact_support, combat_support, replacement_engine				Artifact — Equipment	{2}{B}	3	B	B	Equip		verify analyzer roles	https://scryfall.com/card/znc/5/whispersteel-dagger?utm_source=api	Equipped creature gets +2/+0. Whenever equipped creature deals combat damage to a player, you may cast a creature spell from that player's graveyard this turn, and you may spend mana as though it were mana of any color to cast that spell. Equip {3}
znc	Zendikar Rising Commander	2020-09-25	6	Geode Rager	3969d1d6-0aed-4fa8-aa09-d9be50576fb4			combat_body, combat_support, combat_threat				Creature — Elemental	{4}{R}{R}	6	R	R	Goad, First strike, Landfall		verify analyzer roles	https://scryfall.com/card/znc/6/geode-rager?utm_source=api	First strike Landfall — Whenever a land you control enters, goad each creature target player controls. (Until your next turn, those creatures attack each combat if able and attack a player other than you if able.)
znc	Zendikar Rising Commander	2020-09-25	9	Abzan Falconer	8b972819-507a-40a9-ab1f-1a674ea56083			combat_body, combat_support, counter_support				Creature — Human Soldier	{2}{W}	3	W	W	Outlast		verify analyzer roles	https://scryfall.com/card/znc/9/abzan-falconer?utm_source=api	Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.) Each creature you control with a +1/+1 counter on it has flying.
znc	Zendikar Rising Commander	2020-09-25	10	Admonition Angel	78a7bb30-fc60-410c-b086-862b5521c1aa			combat_body, combat_threat, targeted_removal				Creature — Angel	{3}{W}{W}{W}	6	W	W	Landfall, Flying		verify analyzer roles	https://scryfall.com/card/znc/10/admonition-angel?utm_source=api	Flying Landfall — Whenever a land you control enters, you may exile target nonland permanent other than this creature. When this creature leaves the battlefield, return all cards exiled with it to the battlefield under their owners' control.
znc	Zendikar Rising Commander	2020-09-25	11	Banishing Light	f28b21a6-f7ce-437a-8c5b-0423cb55cefb	covered		removal, targeted_removal	false		Covered by PRM role audit.	Enchantment	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/znc/11/banishing-light?utm_source=api	When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.
znc	Zendikar Rising Commander	2020-09-25	12	Condemn	377d31b5-0a48-4d5b-91bd-b5a62d4f7899	covered		removal, tempo_removal	false		Covered by PRM role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/znc/12/condemn?utm_source=api	Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.
